epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 2.482087e+00 2.344596e+00 2.454757e-01 1.374915e-01 1.000000e-03 4440.669713258743 4440.722601413727
2 7.930394e-01 6.339064e-01 2.354688e-01 1.591331e-01 1.000000e-03 4462.308360815048 8903.290976762772
3 2.654284e+00 5.828174e-01 2.356065e-01 2.071467e+00 1.000000e-03 4429.8755559921265 13333.366199493408
4 1.474093e+00 6.620673e-01 2.358346e-01 8.120261e-01 1.000000e-03 4428.164213895798 17761.68203186989
5 8.350021e-01 5.376268e-01 2.321458e-01 2.973754e-01 1.000000e-03 4379.680295944214 22141.457551002502
6 1.217137e+00 7.585391e-01 2.365414e-01 4.585977e-01 1.000000e-03 4403.245819807053 26544.796895980835
7 7.912131e+00 1.239288e+00 2.324536e-01 6.672843e+00 1.000000e-03 4371.171926736832 30916.064523220062
8 2.430675e+00 1.279568e+00 2.152320e-01 1.151108e+00 1.000000e-03 4344.827988147736 35261.00741529465
9 1.835144e+00 1.290672e+00 2.146737e-01 5.444718e-01 1.000000e-03 4386.286630868912 39647.37739777565
10 1.818623e+00 1.278361e+00 2.144044e-01 5.402615e-01 1.000000e-03 4376.0388712883 44023.507268190384
11 1.724347e+00 1.252282e+00 2.146623e-01 4.720652e-01 1.000000e-03 4320.770719528198 48344.37450623512
12 1.701190e+00 1.236816e+00 2.148433e-01 4.643732e-01 1.000000e-03 4402.836790323257 52747.350613594055
13 1.671231e+00 1.213892e+00 2.147777e-01 4.573385e-01 1.000000e-03 4412.115755081177 57159.561660289764
14 1.610034e+00 1.166209e+00 2.142587e-01 4.438253e-01 1.000000e-03 4375.921126842499 61535.621639966965
15 1.536446e+00 1.118171e+00 2.139794e-01 4.182749e-01 1.000000e-03 4422.900054931641 65958.69978356361
16 1.478858e+00 1.075455e+00 2.136872e-01 4.034030e-01 1.000000e-03 4346.615406513214 70305.48043632507
17 1.434492e+00 1.038609e+00 2.135262e-01 3.958830e-01 1.000000e-03 4359.475055932999 74665.04108786583
18 1.392552e+00 1.007614e+00 2.134073e-01 3.849379e-01 1.000000e-03 4462.011499166489 79127.22403883934
19 1.364873e+00 9.814920e-01 2.133441e-01 3.833815e-01 1.000000e-03 4458.307406902313 83585.68471074104
20 1.327381e+00 9.587418e-01 2.133591e-01 3.686396e-01 1.000000e-03 4430.734013795853 88016.5173625946
21 1.298386e+00 9.388224e-01 2.133926e-01 3.595633e-01 1.000000e-03 4318.116499900818 92334.71013998985
22 1.274550e+00 9.218994e-01 2.134481e-01 3.526508e-01 1.000000e-03 4344.218155384064 96679.02981710434
23 1.252032e+00 9.069013e-01 2.135308e-01 3.451305e-01 1.000000e-03 4350.526520729065 101029.7012681961
24 1.233028e+00 8.936195e-01 2.136277e-01 3.394081e-01 1.000000e-03 4371.823663473129 105401.61736154556
25 1.204816e+00 8.684501e-01 2.137000e-01 3.363663e-01 1.000000e-03 4379.848483324051 109781.59660124779
26 1.188099e+00 8.488082e-01 2.137571e-01 3.392910e-01 1.000000e-03 4406.2545647621155 114187.96589231491
27 1.166754e+00 8.391942e-01 2.138578e-01 3.275596e-01 1.000000e-03 4459.538873195648 118647.64787554741
28 1.152553e+00 8.319031e-01 2.139566e-01 3.206496e-01 1.000000e-03 4372.049461603165 123019.82048296928
29 1.646175e+00 1.263294e+00 2.161455e-01 3.828809e-01 1.000000e-03 4373.794565200806 127393.73537158966
30 1.958468e+00 1.044794e+00 2.159578e-01 9.136742e-01 1.000000e-03 4378.619201183319 131772.48004198074
