epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 5.228338e+00 5.065804e+00 0.000000e+00 1.625335e-01 1.000000e-03 81.7829692363739 81.79971265792847
2 2.378739e+00 2.301662e+00 0.000000e+00 7.707710e-02 1.000000e-03 54.57569599151611 136.40674924850464
3 1.176287e+00 1.107519e+00 0.000000e+00 6.876737e-02 1.000000e-03 50.442479372024536 186.88665413856506
4 1.514666e+00 1.446057e+00 0.000000e+00 6.860904e-02 1.000000e-03 50.524637937545776 237.4412579536438
5 1.285136e+00 1.217651e+00 0.000000e+00 6.748428e-02 1.000000e-03 59.81284475326538 297.2838821411133
6 1.477825e+00 1.410558e+00 0.000000e+00 6.726727e-02 1.000000e-03 56.92908048629761 354.2448937892914
7 1.418828e+00 1.352728e+00 0.000000e+00 6.609952e-02 9.500064e-04 52.37029004096985 406.64755868911743
8 1.637043e+00 1.575238e+00 0.000000e+00 6.180483e-02 9.500064e-04 54.65617656707764 461.33384227752686
9 1.347838e+00 1.290489e+00 0.000000e+00 5.734926e-02 9.500064e-04 60.11991095542908 521.4836096763611
10 1.246770e+00 1.190699e+00 0.000000e+00 5.607112e-02 9.500064e-04 57.72895169258118 579.2443325519562
11 1.336008e+00 1.280920e+00 0.000000e+00 5.508793e-02 9.500064e-04 52.0809850692749 631.356374502182
12 1.469514e+00 1.414559e+00 0.000000e+00 5.495587e-02 9.500064e-04 53.56574106216431 684.9549670219421
13 1.351760e+00 1.297857e+00 0.000000e+00 5.390353e-02 9.500064e-04 57.884785652160645 742.8698823451996
14 1.237289e+00 1.184167e+00 0.000000e+00 5.312218e-02 9.500064e-04 55.69262146949768 798.593156337738
15 1.437445e+00 1.384599e+00 0.000000e+00 5.284568e-02 9.025122e-04 52.39288783073425 851.017231464386
16 1.215246e+00 1.163657e+00 0.000000e+00 5.158845e-02 9.025122e-04 54.79788517951965 905.8457055091858
17 1.233807e+00 1.182443e+00 0.000000e+00 5.136339e-02 9.025122e-04 57.96867775917053 963.8397037982941
18 1.204794e+00 1.153944e+00 0.000000e+00 5.084962e-02 9.025122e-04 55.942368268966675 1019.8126447200775
19 1.229488e+00 1.178919e+00 0.000000e+00 5.056829e-02 9.025122e-04 52.18882894515991 1072.030835390091
