epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 2.228315e-01 1.589048e-01 8.268877e-02 6.392672e-02 1.000000e-03 13085.910125494003 13086.047906637192
2 7.268589e-02 2.966451e-02 7.964259e-02 4.302138e-02 1.000000e-03 13086.49436211586 26172.78935265541
3 7.100625e-02 2.883448e-02 7.782348e-02 4.217177e-02 1.000000e-03 13078.468916416168 39251.629356861115
4 7.022687e-02 2.845542e-02 7.622976e-02 4.177145e-02 1.000000e-03 13078.968247413635 52330.881475925446
5 6.965905e-02 2.814539e-02 7.522206e-02 4.151366e-02 1.000000e-03 13081.377120018005 65412.76204371452
6 6.923336e-02 2.791605e-02 7.443892e-02 4.131732e-02 1.000000e-03 13066.999832391739 78480.2838716507
7 6.887471e-02 2.772154e-02 7.379572e-02 4.115317e-02 1.000000e-03 13065.75525522232 91546.3035185337
8 6.858527e-02 2.757402e-02 7.328297e-02 4.101124e-02 1.000000e-03 13084.383335590363 104631.01223278046
9 6.827976e-02 2.739359e-02 7.272709e-02 4.088617e-02 1.000000e-03 13072.060488700867 117703.3560154438
10 6.799610e-02 2.721981e-02 7.224992e-02 4.077630e-02 1.000000e-03 13066.38292503357 130770.10337615013
11 6.781266e-02 2.713667e-02 7.185596e-02 4.067599e-02 1.000000e-03 13080.364740848541 143850.69355273247
12 6.758478e-02 2.699588e-02 7.139778e-02 4.058890e-02 1.000000e-03 13089.878454446793 156940.85481595993
13 6.741225e-02 2.690783e-02 7.097671e-02 4.050441e-02 1.000000e-03 13077.641563415527 170018.85210871696
14 6.723270e-02 2.680554e-02 7.050035e-02 4.042715e-02 1.000000e-03 13088.522053003311 183107.6902475357
15 6.710581e-02 2.675512e-02 7.005248e-02 4.035069e-02 1.000000e-03 13080.23594880104 196188.19409132004
16 6.689832e-02 2.661500e-02 6.970007e-02 4.028332e-02 1.000000e-03 13087.684517860413 209276.1693892479
17 6.677531e-02 2.656010e-02 6.946173e-02 4.021521e-02 1.000000e-03 13094.75496172905 222371.24586105347
18 6.663440e-02 2.648507e-02 6.918622e-02 4.014933e-02 1.000000e-03 13083.22893857956 235454.829069376
19 6.647073e-02 2.637771e-02 6.891204e-02 4.009301e-02 1.000000e-03 13080.649685382843 248535.78618216515
20 6.637774e-02 2.634272e-02 6.870700e-02 4.003502e-02 1.000000e-03 13089.084372520447 261625.23378109932
21 6.621634e-02 2.623071e-02 6.852858e-02 3.998564e-02 1.000000e-03 13080.043632030487 274705.59854102135
22 6.612920e-02 2.619365e-02 6.845572e-02 3.993555e-02 1.000000e-03 13097.142994880676 287803.01044130325
23 6.596622e-02 2.606947e-02 6.835987e-02 3.989675e-02 1.000000e-03 13077.260334730148 300880.59973812103
24 6.590997e-02 2.605694e-02 6.825415e-02 3.985303e-02 1.000000e-03 13101.409194231033 313982.3229010105
25 6.583447e-02 2.602220e-02 6.823156e-02 3.981228e-02 1.000000e-03 13074.177965164185 327056.7871425152
26 6.570056e-02 2.592071e-02 6.817732e-02 3.977985e-02 1.000000e-03 13072.126070022583 340129.2398097515
27 6.561830e-02 2.586946e-02 6.815969e-02 3.974884e-02 1.000000e-03 13080.202356100082 353209.741301775
28 6.554111e-02 2.582329e-02 6.817321e-02 3.971782e-02 1.000000e-03 13063.392179727554 366273.4484012127
29 6.547981e-02 2.579198e-02 6.813929e-02 3.968784e-02 1.000000e-03 13078.557191848755 379352.28409290314
30 6.539847e-02 2.573518e-02 6.811787e-02 3.966329e-02 1.000000e-03 13073.112280368805 392425.7416000366
