epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 1.306573e+01 1.297230e+01 1.429179e-01 9.343548e-02 1.000000e-03 517.4449872970581 517.4634549617767
2 1.374926e-01 9.421727e-02 7.286668e-02 4.327538e-02 1.000000e-03 505.89911580085754 1023.4148013591766
3 4.651646e-01 3.979297e-01 7.262632e-02 6.723490e-02 1.000000e-03 507.083633184433 1530.5427522659302
4 1.643533e+01 1.328941e+01 1.500310e-01 3.145921e+00 1.000000e-03 514.3881635665894 2044.9699530601501
5 7.732215e+00 7.094064e+00 1.033762e-01 6.381514e-01 1.000000e-03 510.05395770072937 2555.0627336502075
6 5.930633e+00 4.509705e+00 8.932837e-02 1.420927e+00 1.000000e-03 507.3802111148834 3062.4719667434692
7 3.031764e+02 1.064785e+01 6.068130e-01 2.925285e+02 1.000000e-03 517.9724321365356 3580.4808356761932
8 2.820408e+02 7.008451e+00 5.247763e-01 2.750323e+02 1.000000e-03 515.4023013114929 4095.9201414585114
9 1.757342e+02 2.340003e+00 2.630458e-01 1.733942e+02 1.000000e-03 517.2494711875916 4613.207790851593
10 2.226580e+02 3.711708e+01 7.033222e-01 1.855410e+02 1.000000e-03 509.52947545051575 5122.7730412483215
11 7.589232e+01 2.621767e+00 1.846398e-01 7.327055e+01 1.000000e-03 508.0328447818756 5630.840543270111
12 3.606112e+01 9.711494e-01 1.137852e-01 3.508997e+01 1.000000e-03 514.1621942520142 6145.037044763565
13 1.164246e+02 6.392208e+00 2.858701e-01 1.100324e+02 1.000000e-03 518.9242081642151 6663.997673034668
14 1.667444e+02 5.025389e+00 2.181031e-01 1.617190e+02 1.000000e-03 508.14259600639343 7172.16974401474
15 1.153059e+02 8.230973e-01 1.314647e-01 1.144828e+02 1.000000e-03 520.5667147636414 7692.764559268951
16 7.805557e+01 5.204290e-01 1.133724e-01 7.753514e+01 1.000000e-03 518.0741498470306 8210.875627040863
17 5.798241e+01 3.816294e-01 1.091068e-01 5.760078e+01 1.000000e-03 518.0636386871338 8728.974075317383
18 5.658385e+01 7.617407e-01 1.186660e-01 5.582211e+01 1.000000e-03 515.5172448158264 9244.528507709503
19 4.293374e+01 2.942035e-01 1.097025e-01 4.263954e+01 1.000000e-03 511.60261058807373 9756.167729616165
20 1.322756e+03 1.198048e+01 4.679158e-01 1.310775e+03 1.000000e-03 506.63561820983887 10262.83892083168
21 1.829828e+03 2.291335e+01 5.241113e-01 1.806914e+03 1.000000e-03 514.1371169090271 10777.013313055038
22 1.572319e+03 3.111056e+00 2.287794e-01 1.569208e+03 1.000000e-03 516.7269878387451 11293.775029659271
23 1.319100e+04 3.860493e+01 9.812951e-01 1.315240e+04 1.000000e-03 517.4931056499481 11811.304374933243
24 2.076366e+05 8.246784e+01 2.294981e+00 2.075541e+05 1.000000e-03 515.3893597126007 12326.728598117828
25 4.281945e+06 2.259103e+02 7.307099e+00 4.281719e+06 1.000000e-03 515.8332583904266 12842.595505952835
26 2.323255e+07 1.089786e+03 3.589191e+01 2.323146e+07 1.000000e-03 509.60213589668274 13352.235477685928
27 5.979295e+07 2.017954e+03 6.121328e+01 5.979093e+07 1.000000e-03 515.9620175361633 13868.231928825378
28 2.169872e+08 2.385251e+05 4.562113e+03 2.167487e+08 1.000000e-03 517.780326128006 14386.046155691147
29 4.817260e+06 2.790117e+05 6.471379e+03 4.538248e+06 1.000000e-03 518.5580630302429 14904.642412424088
30 1.692414e+07 3.500853e+05 8.680768e+03 1.657405e+07 1.000000e-03 514.6865611076355 15419.365839958191
