epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 1.141812e+01 1.129948e+01 0.000000e+00 1.186474e-01 5.987773e-04 288.2467272281647 288.2639033794403
2 9.629713e+00 9.554775e+00 0.000000e+00 7.493828e-02 5.987773e-04 207.76898312568665 496.07389068603516
3 3.816286e+00 3.749984e+00 0.000000e+00 6.630264e-02 5.688423e-04 192.04443049430847 688.1602838039398
4 5.392524e+00 5.324213e+00 0.000000e+00 6.831103e-02 5.688423e-04 199.23209857940674 887.4322021007538
5 3.709271e+00 3.642760e+00 0.000000e+00 6.651123e-02 5.688423e-04 189.7576448917389 1077.21683883667
6 3.654225e+00 3.588815e+00 0.000000e+00 6.541018e-02 5.404038e-04 192.3928303718567 1269.6541130542755
7 2.547858e+00 2.485367e+00 0.000000e+00 6.249067e-02 5.404038e-04 192.8772838115692 1462.5742950439453
8 1.877132e+00 1.814157e+00 0.000000e+00 6.297524e-02 5.404038e-04 192.6975076198578 1655.3061094284058
9 4.622987e+00 4.558261e+00 0.000000e+00 6.472577e-02 5.133871e-04 192.68111324310303 1848.0275392532349
10 3.717694e+00 3.655647e+00 0.000000e+00 6.204688e-02 5.133871e-04 191.4497091770172 2039.509717464447
11 2.520558e+00 2.460319e+00 0.000000e+00 6.023916e-02 4.877210e-04 193.41440439224243 2232.9596989154816
12 3.266387e+00 3.205928e+00 0.000000e+00 6.045893e-02 4.877210e-04 198.0990207195282 2431.092039823532
13 1.302447e+00 1.248671e+00 0.000000e+00 5.377589e-02 4.877210e-04 214.41871643066406 2645.5448520183563
14 1.956386e+00 1.903373e+00 0.000000e+00 5.301335e-02 4.633381e-04 225.1305286884308 2870.715903520584
15 1.908459e+00 1.856969e+00 0.000000e+00 5.148958e-02 4.633381e-04 196.4930875301361 3067.2356400489807
16 2.480666e+00 2.426396e+00 0.000000e+00 5.427053e-02 4.633381e-04 192.8703122138977 3260.1425013542175
17 1.251251e+00 1.201237e+00 0.000000e+00 5.001335e-02 4.401742e-04 190.4436867237091 3450.6378486156464
18 1.562300e+00 1.510831e+00 0.000000e+00 5.146840e-02 4.401742e-04 188.1077742576599 3638.786684036255
19 2.008299e+00 1.955477e+00 0.000000e+00 5.282197e-02 4.401742e-04 192.0402364730835 3830.860612630844
20 1.419934e+00 1.370547e+00 0.000000e+00 4.938685e-02 4.181683e-04 190.26952242851257 4021.1681394577026
21 1.250899e+00 1.201576e+00 0.000000e+00 4.932357e-02 4.181683e-04 190.68834948539734 4211.892878293991
22 1.836147e+00 1.782120e+00 0.000000e+00 5.402754e-02 3.972626e-04 191.05847930908203 4402.991554260254
23 1.312915e+00 1.263509e+00 0.000000e+00 4.940617e-02 3.972626e-04 190.38527989387512 4593.413963317871
24 1.398528e+00 1.350403e+00 0.000000e+00 4.812513e-02 3.972626e-04 188.3251039981842 4781.771760940552
25 1.675319e+00 1.622282e+00 0.000000e+00 5.303669e-02 3.774020e-04 193.92048454284668 4975.734624385834
26 1.504467e+00 1.455179e+00 0.000000e+00 4.928785e-02 3.774020e-04 222.2523398399353 5198.02136182785
27 1.762943e+00 1.714536e+00 0.000000e+00 4.840776e-02 3.774020e-04 231.43512344360352 5429.488548755646
28 9.751814e-01 9.281189e-01 0.000000e+00 4.706251e-02 3.585343e-04 200.84495568275452 5630.370118141174
29 1.577182e+00 1.530066e+00 0.000000e+00 4.711622e-02 3.585343e-04 191.75620865821838 5822.166924238205
30 1.456604e+00 1.409821e+00 0.000000e+00 4.678264e-02 3.585343e-04 188.16574358940125 6010.3680720329285
