epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 1.395934e+01 1.375326e+01 1.468250e-01 2.060762e-01 1.000000e-03 260.9730112552643 260.9877972602844
2 2.418640e+00 2.357152e+00 9.224141e-02 6.148862e-02 1.000000e-03 237.4023973941803 498.542209148407
3 3.734570e-01 3.259436e-01 8.166811e-02 4.751332e-02 1.000000e-03 239.5992124080658 738.1867325305939
4 2.107112e-01 1.664724e-01 7.320434e-02 4.423884e-02 1.000000e-03 234.57387447357178 972.8070764541626
5 1.165599e-01 7.378950e-02 7.506651e-02 4.277043e-02 1.000000e-03 235.88166880607605 1208.7370219230652
6 8.600120e-02 4.402995e-02 7.443843e-02 4.197124e-02 1.000000e-03 232.87335443496704 1441.6582531929016
7 8.420148e-02 4.270576e-02 7.274129e-02 4.149572e-02 1.000000e-03 235.3434202671051 1677.0502195358276
8 8.269655e-02 4.156872e-02 7.071408e-02 4.112783e-02 1.000000e-03 232.94407176971436 1910.0431985855103
9 8.153624e-02 4.077021e-02 6.856065e-02 4.076603e-02 1.000000e-03 239.1338267326355 2149.224746465683
10 7.988029e-02 3.942507e-02 6.703825e-02 4.045522e-02 1.000000e-03 233.463782787323 2382.7351067066193
11 7.841969e-02 3.821667e-02 6.600097e-02 4.020302e-02 1.000000e-03 238.02269458770752 2620.799297809601
12 7.731027e-02 3.730856e-02 6.537434e-02 4.000170e-02 1.000000e-03 234.00912809371948 2854.854761362076
13 7.631921e-02 3.650004e-02 6.484937e-02 3.981917e-02 1.000000e-03 237.48030257225037 3092.3763897418976
14 7.500358e-02 3.534675e-02 6.477992e-02 3.965683e-02 1.000000e-03 233.4594566822052 3325.8799483776093
15 7.403288e-02 3.451518e-02 6.476247e-02 3.951770e-02 1.000000e-03 237.24215984344482 3563.1691727638245
16 7.322230e-02 3.383540e-02 6.466303e-02 3.938690e-02 1.000000e-03 231.92366862297058 3795.1390240192413
17 7.250214e-02 3.323467e-02 6.472150e-02 3.926748e-02 1.000000e-03 235.96119022369385 4031.1448941230774
18 7.162504e-02 3.246204e-02 6.480408e-02 3.916300e-02 1.000000e-03 231.91878628730774 4263.104431390762
19 7.100607e-02 3.192310e-02 6.490498e-02 3.908297e-02 1.000000e-03 236.01681184768677 4499.172478199005
20 7.062879e-02 3.163666e-02 6.502637e-02 3.899212e-02 1.000000e-03 228.07637524604797 4727.295501708984
21 6.997797e-02 3.105250e-02 6.514505e-02 3.892546e-02 1.000000e-03 228.56620979309082 4955.908451795578
22 6.944876e-02 3.058032e-02 6.532032e-02 3.886844e-02 1.000000e-03 225.4641408920288 5181.419644117355
23 6.923698e-02 3.043061e-02 6.535405e-02 3.880636e-02 1.000000e-03 230.19710159301758 5411.663795948029
24 6.870924e-02 2.994906e-02 6.534554e-02 3.876019e-02 1.000000e-03 229.1459047794342 5640.856382369995
25 6.856723e-02 2.985583e-02 6.556271e-02 3.871140e-02 1.000000e-03 232.77088284492493 5873.674518585205
26 6.809886e-02 2.943049e-02 6.562112e-02 3.866837e-02 1.000000e-03 230.43734741210938 6104.155256509781
27 6.779550e-02 2.916007e-02 6.574615e-02 3.863543e-02 1.000000e-03 234.8313615322113 6339.031646490097
28 6.774625e-02 2.915470e-02 6.589842e-02 3.859155e-02 1.000000e-03 229.66567516326904 6568.742014169693
29 6.731556e-02 2.875624e-02 6.611797e-02 3.855932e-02 1.000000e-03 232.8602695465088 6801.651497364044
30 6.713268e-02 2.860809e-02 6.622452e-02 3.852459e-02 1.000000e-03 230.1992256641388 7031.901228427887
31 6.690328e-02 2.841515e-02 6.634178e-02 3.848813e-02 1.000000e-03 233.83595967292786 7265.781829357147
32 6.687805e-02 2.842153e-02 6.645679e-02 3.845653e-02 1.000000e-03 229.83049201965332 7495.6604471206665
33 6.665023e-02 2.822408e-02 6.651529e-02 3.842615e-02 1.000000e-03 233.98452758789062 7729.691036701202
34 6.633145e-02 2.793002e-02 6.652081e-02 3.840144e-02 1.000000e-03 232.66824054718018 7962.407503604889
35 6.623488e-02 2.786155e-02 6.659261e-02 3.837333e-02 1.000000e-03 235.3857741355896 8197.833328485489
