epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 7.493114e-01 6.037908e-01 1.299504e+02 1.455206e-01 1.000000e-03 4813.988293886185 4814.0207715034485
2 1.005593e-01 3.838282e-02 1.300089e+02 6.217645e-02 1.000000e-03 4818.813151597977 9632.910672187805
3 9.504814e-02 3.629941e-02 1.300213e+02 5.874873e-02 1.000000e-03 4818.695727825165 14452.0121383667
4 9.133752e-02 3.464069e-02 1.300247e+02 5.669683e-02 1.000000e-03 4817.740685462952 19269.924728155136
5 8.834108e-02 3.309596e-02 1.300241e+02 5.524512e-02 1.000000e-03 4816.791077136993 24086.903760910034
6 8.566680e-02 3.158225e-02 1.300234e+02 5.408454e-02 1.000000e-03 4823.415222406387 28910.489329576492
7 8.311735e-02 2.993551e-02 1.300222e+02 5.318184e-02 1.000000e-03 4822.769140958786 33733.46851229668
8 8.131913e-02 2.892089e-02 1.300221e+02 5.239824e-02 1.000000e-03 4821.079053401947 38554.75135779381
9 7.932864e-02 2.765780e-02 1.300213e+02 5.167084e-02 1.000000e-03 4819.756965875626 43374.95472097397
10 7.771907e-02 2.661558e-02 1.300213e+02 5.110349e-02 1.000000e-03 4821.830977678299 48196.99309587479
11 7.625122e-02 2.571040e-02 1.300194e+02 5.054082e-02 1.000000e-03 4821.176459789276 53018.379163742065
12 7.512446e-02 2.500548e-02 1.300189e+02 5.011898e-02 1.000000e-03 4819.282867431641 57837.82259392738
13 7.409175e-02 2.442934e-02 1.300181e+02 4.966241e-02 1.000000e-03 4819.53044295311 62657.8242661953
14 7.291976e-02 2.366834e-02 1.300176e+02 4.925142e-02 1.000000e-03 4815.183046340942 67473.19390845299
15 7.192060e-02 2.306528e-02 1.300175e+02 4.885533e-02 1.000000e-03 4819.502911567688 72292.8654024601
16 7.099504e-02 2.248658e-02 1.300172e+02 4.850846e-02 1.000000e-03 4822.027058839798 77115.10513114929
17 7.031208e-02 2.213540e-02 1.300169e+02 4.817668e-02 1.000000e-03 4816.934905052185 81932.2416229248
18 6.947688e-02 2.160380e-02 1.300173e+02 4.787308e-02 1.000000e-03 4814.794221401215 86747.20543217659
19 6.883795e-02 2.125487e-02 1.300169e+02 4.758308e-02 1.000000e-03 4822.732564210892 91570.1556649208
20 6.808812e-02 2.080346e-02 1.300170e+02 4.728466e-02 1.000000e-03 4821.433723211288 96391.80278301239
21 6.741913e-02 2.041073e-02 1.300168e+02 4.700841e-02 1.000000e-03 4814.018659830093 101206.0704908371
22 6.673725e-02 1.999701e-02 1.300170e+02 4.674024e-02 1.000000e-03 4819.877157688141 106026.1550951004
23 6.608283e-02 1.956479e-02 1.300170e+02 4.651804e-02 1.000000e-03 4822.197252988815 110848.56651854515
24 6.556892e-02 1.932127e-02 1.300171e+02 4.624764e-02 1.000000e-03 4820.308674812317 115669.07529950142
25 6.509848e-02 1.906586e-02 1.300172e+02 4.603262e-02 1.000000e-03 4815.832090139389 120485.03595733643
26 6.463920e-02 1.882759e-02 1.300174e+02 4.581162e-02 1.000000e-03 4819.395394563675 125304.68734049797
27 6.427052e-02 1.865833e-02 1.300173e+02 4.561220e-02 1.000000e-03 4817.56086730957 130122.42699694633
28 6.379803e-02 1.835453e-02 1.300174e+02 4.544350e-02 1.000000e-03 4822.959282159805 134945.54662251472
29 6.325581e-02 1.799048e-02 1.300178e+02 4.526533e-02 1.000000e-03 4821.666620969772 139767.32680368423
30 6.312259e-02 1.802421e-02 1.300180e+02 4.509838e-02 1.000000e-03 4818.301712751389 144586.02950501442
