epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 1.134973e+01 1.107079e+01 1.313269e+02 2.789364e-01 1.000000e-03 169.2514042854309 169.26272988319397
2 1.273404e+00 1.188341e+00 1.315391e+02 8.506290e-02 1.000000e-03 166.74030017852783 336.20219564437866
3 8.009738e-01 7.271522e-01 1.315325e+02 7.382161e-02 1.000000e-03 167.8081066608429 504.05879759788513
4 5.302775e-01 4.616771e-01 1.315579e+02 6.860040e-02 1.000000e-03 168.32768845558167 672.4295732975006
5 3.815607e-01 3.152425e-01 1.315583e+02 6.631826e-02 1.000000e-03 167.66533660888672 840.1397390365601
6 2.409734e-01 1.770233e-01 1.315656e+02 6.395007e-02 1.000000e-03 168.4538848400116 1008.6415741443634
7 2.366974e-01 1.746869e-01 1.315656e+02 6.201057e-02 1.000000e-03 168.89507842063904 1177.5821242332458
8 2.149858e-01 1.545623e-01 1.315662e+02 6.042350e-02 1.000000e-03 169.01607632637024 1346.640973329544
9 1.813608e-01 1.222291e-01 1.315629e+02 5.913171e-02 1.000000e-03 168.55366349220276 1515.2427258491516
10 1.464672e-01 8.859740e-02 1.315552e+02 5.786978e-02 1.000000e-03 168.6244020462036 1683.9086182117462
11 1.322736e-01 7.544837e-02 1.315485e+02 5.682519e-02 1.000000e-03 168.6600034236908 1852.614226102829
12 1.249971e-01 6.910562e-02 1.315446e+02 5.589147e-02 1.000000e-03 169.80260181427002 2022.4637064933777
13 1.179049e-01 6.287809e-02 1.315380e+02 5.502683e-02 1.000000e-03 169.45273995399475 2191.9774379730225
14 1.138269e-01 5.963839e-02 1.315352e+02 5.418851e-02 1.000000e-03 168.62594079971313 2360.651724100113
15 1.108119e-01 5.738536e-02 1.315305e+02 5.342649e-02 1.000000e-03 168.12761068344116 2528.8249413967133
16 1.097280e-01 5.689493e-02 1.315288e+02 5.283312e-02 1.000000e-03 168.9223644733429 2697.7925951480865
17 1.048402e-01 5.276897e-02 1.315287e+02 5.207126e-02 1.000000e-03 168.8452126979828 2866.683168888092
18 1.023998e-01 5.085406e-02 1.315260e+02 5.154572e-02 1.000000e-03 169.79620718955994 3036.5238926410675
19 9.891346e-02 4.790211e-02 1.315223e+02 5.101134e-02 1.000000e-03 170.04969096183777 3206.621677875519
20 9.775696e-02 4.733368e-02 1.315237e+02 5.042329e-02 1.000000e-03 168.50541639328003 3375.165549993515
21 9.457239e-02 4.465360e-02 1.315235e+02 4.991879e-02 1.000000e-03 167.70416259765625 3542.917379617691
22 9.339777e-02 4.393816e-02 1.315223e+02 4.945962e-02 1.000000e-03 168.14557099342346 3711.1040782928467
23 9.221947e-02 4.320128e-02 1.315223e+02 4.901820e-02 1.000000e-03 170.07403135299683 3881.2180626392365
24 8.966586e-02 4.103794e-02 1.315234e+02 4.862791e-02 1.000000e-03 169.4007294178009 4050.664507627487
25 8.863409e-02 4.050377e-02 1.315221e+02 4.813032e-02 1.000000e-03 169.87465906143188 4220.5830335617065
26 8.762396e-02 3.991231e-02 1.315223e+02 4.771164e-02 1.000000e-03 169.2130069732666 4389.832033872604
27 8.635495e-02 3.901281e-02 1.315211e+02 4.734214e-02 1.000000e-03 169.81613683700562 4559.693717479706
28 8.491995e-02 3.800645e-02 1.315199e+02 4.691351e-02 1.000000e-03 170.08986949920654 4729.826096773148
29 8.326126e-02 3.664970e-02 1.315197e+02 4.661156e-02 1.000000e-03 168.73237323760986 4898.60218167305
30 8.238555e-02 3.609497e-02 1.315186e+02 4.629057e-02 1.000000e-03 169.4650650024414 5068.115708351135
31 8.119752e-02 3.524514e-02 1.315184e+02 4.595238e-02 1.000000e-03 168.809903383255 5236.973429441452
32 8.028644e-02 3.466513e-02 1.315184e+02 4.562130e-02 1.000000e-03 169.35042881965637 5406.369247674942
33 7.944732e-02 3.410601e-02 1.315192e+02 4.534131e-02 1.000000e-03 168.20002698898315 5574.616589307785
34 7.812891e-02 3.309198e-02 1.315183e+02 4.503693e-02 1.000000e-03 167.8949053287506 5742.555691003799
35 7.752674e-02 3.273859e-02 1.315182e+02 4.478814e-02 1.000000e-03 169.38354015350342 5911.982297420502
36 7.737082e-02 3.247427e-02 1.315176e+02 4.489655e-02 1.000000e-03 168.44826889038086 6080.477043867111
37 7.557688e-02 3.131132e-02 1.315182e+02 4.426556e-02 1.000000e-03 168.81830954551697 6249.3400321006775
38 7.512653e-02 3.111168e-02 1.315177e+02 4.401485e-02 1.000000e-03 167.7508716583252 6417.137160539627
39 7.453759e-02 3.073456e-02 1.315177e+02 4.380304e-02 1.000000e-03 168.4220631122589 6585.607600212097
40 7.326523e-02 2.967493e-02 1.315181e+02 4.359030e-02 1.000000e-03 168.40600991249084 6754.057660579681
41 7.570495e-02 3.120877e-02 1.315177e+02 4.449618e-02 1.000000e-03 169.39115118980408 6923.49374461174
42 7.236206e-02 2.914774e-02 1.315179e+02 4.321432e-02 1.000000e-03 169.98374462127686 7093.514854431152
43 7.208087e-02 2.899194e-02 1.315173e+02 4.308893e-02 1.000000e-03 168.4142289161682 7261.976294755936
44 7.087280e-02 2.812887e-02 1.315166e+02 4.274393e-02 1.000000e-03 168.46063232421875 7430.481840848923
45 7.095422e-02 2.835638e-02 1.315163e+02 4.259785e-02 1.000000e-03 168.98549127578735 7599.525411367416
46 7.046334e-02 2.806689e-02 1.315165e+02 4.239644e-02 1.000000e-03 169.64133143424988 7769.2026998996735
47 6.951851e-02 2.729702e-02 1.315166e+02 4.222149e-02 1.000000e-03 167.69824314117432 7936.946505784988
48 6.869774e-02 2.665979e-02 1.315165e+02 4.203795e-02 1.000000e-03 169.82508325576782 8106.817799329758
49 6.859407e-02 2.667424e-02 1.315165e+02 4.191983e-02 1.000000e-03 169.77373886108398 8276.636747837067
50 6.761202e-02 2.586855e-02 1.315162e+02 4.174347e-02 1.000000e-03 168.9439675807953 8445.617624998093
51 6.736894e-02 2.584634e-02 1.315162e+02 4.152260e-02 1.000000e-03 169.22773671150208 8614.893458366394
52 6.681318e-02 2.544254e-02 1.315165e+02 4.137065e-02 1.000000e-03 169.8819615840912 8784.82253241539
53 6.620066e-02 2.494217e-02 1.315166e+02 4.125849e-02 1.000000e-03 169.24701070785522 8954.10781621933
54 6.588219e-02 2.471922e-02 1.315163e+02 4.116297e-02 1.000000e-03 169.31547713279724 9123.473864793777
55 6.513377e-02 2.417310e-02 1.315163e+02 4.096068e-02 1.000000e-03 167.13937306404114 9290.654334783554
56 6.521697e-02 2.443056e-02 1.315168e+02 4.078642e-02 1.000000e-03 168.27180790901184 9458.971024513245
57 6.472999e-02 2.406354e-02 1.315167e+02 4.066645e-02 1.000000e-03 169.7059986591339 9628.710259199142
58 6.399542e-02 2.347970e-02 1.315173e+02 4.051571e-02 1.000000e-03 169.94264841079712 9798.693101882935
59 6.545107e-02 2.338040e-02 1.315173e+02 4.207067e-02 1.000000e-03 169.35230112075806 9968.090559244156
60 6.338928e-02 2.312690e-02 1.315173e+02 4.026238e-02 1.000000e-03 168.49536395072937 10136.620653390884
