epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 3.378165e+01 3.315521e+01 1.297670e+02 6.264457e-01 1.000000e-03 60.85707116127014 60.8769268989563
2 1.668979e+01 1.651150e+01 1.299391e+02 1.782876e-01 1.000000e-03 58.92947053909302 119.95971131324768
3 3.866396e+00 3.737855e+00 1.310791e+02 1.285407e-01 1.000000e-03 57.7919704914093 177.78981280326843
4 1.186997e+00 1.076474e+00 1.317982e+02 1.105229e-01 1.000000e-03 58.111164569854736 235.94337940216064
5 1.693734e+00 1.593957e+00 1.317552e+02 9.977764e-02 1.000000e-03 57.73349213600159 293.7126235961914
6 2.420821e+00 2.328606e+00 1.317072e+02 9.221488e-02 1.000000e-03 57.824793100357056 351.56919741630554
7 2.148818e+00 2.062569e+00 1.317210e+02 8.624935e-02 1.000000e-03 58.35680031776428 409.9500813484192
8 1.871408e+00 1.790260e+00 1.317461e+02 8.114790e-02 1.000000e-03 57.89557886123657 467.87673258781433
9 1.608456e+00 1.530538e+00 1.317629e+02 7.791808e-02 1.000000e-03 58.71626901626587 526.6269013881683
10 1.100101e+00 1.024772e+00 1.317335e+02 7.532909e-02 1.000000e-03 58.08262038230896 584.7433302402496
11 1.058932e+00 9.857846e-01 1.317140e+02 7.314710e-02 1.000000e-03 58.61128830909729 643.4006721973419
12 8.735432e-01 8.025736e-01 1.317336e+02 7.096963e-02 1.000000e-03 59.54890155792236 702.9886734485626
13 7.604325e-01 6.911947e-01 1.317556e+02 6.923776e-02 1.000000e-03 58.84842491149902 761.8834116458893
14 6.089851e-01 5.409843e-01 1.317734e+02 6.800081e-02 1.000000e-03 58.60119104385376 820.5304458141327
15 6.268812e-01 5.596883e-01 1.317832e+02 6.719291e-02 1.000000e-03 58.70021438598633 879.2669517993927
16 5.342053e-01 4.679747e-01 1.317836e+02 6.623058e-02 1.000000e-03 57.86116981506348 937.1574368476868
17 5.620895e-01 4.966554e-01 1.317915e+02 6.543403e-02 1.000000e-03 58.24504041671753 995.4467446804047
18 4.870390e-01 4.224308e-01 1.317960e+02 6.460822e-02 1.000000e-03 58.24975299835205 1053.7323036193848
19 5.078647e-01 4.441021e-01 1.317986e+02 6.376265e-02 1.000000e-03 59.276519536972046 1113.052780866623
20 4.490320e-01 3.860787e-01 1.317999e+02 6.295326e-02 1.000000e-03 59.12861394882202 1172.2147676944733
21 5.019465e-01 4.399605e-01 1.318051e+02 6.198600e-02 1.000000e-03 59.19047689437866 1231.4501686096191
22 5.333827e-01 4.720328e-01 1.318134e+02 6.134986e-02 1.000000e-03 59.2663049697876 1290.7484438419342
23 4.537341e-01 3.930699e-01 1.318090e+02 6.066420e-02 1.000000e-03 58.97796940803528 1349.757348060608
24 4.163053e-01 3.562855e-01 1.318111e+02 6.001980e-02 1.000000e-03 59.32352948188782 1409.114652633667
25 3.696843e-01 3.102918e-01 1.318146e+02 5.939254e-02 1.000000e-03 59.44065761566162 1468.5982267856598
26 3.739126e-01 3.149155e-01 1.318155e+02 5.899712e-02 1.000000e-03 59.404348850250244 1528.0477347373962
27 3.453705e-01 2.869279e-01 1.318153e+02 5.844254e-02 1.000000e-03 58.37525987625122 1586.4537389278412
28 3.261922e-01 2.681405e-01 1.318151e+02 5.805169e-02 1.000000e-03 57.97323393821716 1644.4688222408295
29 2.924899e-01 2.349502e-01 1.318135e+02 5.753974e-02 1.000000e-03 58.92033648490906 1703.4336488246918
30 2.525412e-01 1.954866e-01 1.318136e+02 5.705457e-02 1.000000e-03 58.003310441970825 1761.4826197624207
31 2.307692e-01 1.740236e-01 1.318155e+02 5.674558e-02 1.000000e-03 58.18634486198425 1819.7124168872833
32 2.267523e-01 1.704723e-01 1.318125e+02 5.627991e-02 1.000000e-03 57.97045707702637 1877.7192959785461
33 2.075221e-01 1.516720e-01 1.318148e+02 5.585016e-02 1.000000e-03 58.07958197593689 1935.842934370041
34 2.071841e-01 1.516286e-01 1.318115e+02 5.555556e-02 1.000000e-03 57.92735242843628 1993.8118169307709
35 1.887829e-01 1.334945e-01 1.318096e+02 5.528839e-02 1.000000e-03 58.268346548080444 2052.1187722682953
36 1.583160e-01 1.033552e-01 1.318105e+02 5.496088e-02 1.000000e-03 58.34719896316528 2110.5102241039276
37 1.661768e-01 1.115326e-01 1.318084e+02 5.464426e-02 1.000000e-03 57.99433755874634 2168.548315525055
38 1.542036e-01 9.993643e-02 1.318030e+02 5.426713e-02 1.000000e-03 57.99433660507202 2226.5763368606567
39 1.534044e-01 9.939009e-02 1.318001e+02 5.401431e-02 1.000000e-03 59.1828179359436 2285.803450345993
40 1.588133e-01 1.051229e-01 1.318007e+02 5.369044e-02 1.000000e-03 59.40259861946106 2345.2490606307983
41 1.532062e-01 9.980984e-02 1.317992e+02 5.339637e-02 1.000000e-03 58.30795168876648 2403.5836720466614
42 1.354656e-01 8.248708e-02 1.317982e+02 5.297855e-02 1.000000e-03 57.91566038131714 2461.541669368744
43 1.275449e-01 7.486322e-02 1.317941e+02 5.268166e-02 1.000000e-03 57.85487675666809 2519.4433484077454
44 1.209674e-01 6.853141e-02 1.317912e+02 5.243597e-02 1.000000e-03 57.850016355514526 2577.329345703125
45 1.177434e-01 6.557221e-02 1.317894e+02 5.217124e-02 1.000000e-03 57.527448892593384 2634.9019615650177
46 1.143083e-01 6.239814e-02 1.317890e+02 5.191013e-02 1.000000e-03 57.859248638153076 2692.8036143779755
47 1.082967e-01 5.659549e-02 1.317895e+02 5.170126e-02 1.000000e-03 57.97288918495178 2750.819961309433
48 1.031157e-01 5.161207e-02 1.317870e+02 5.150362e-02 1.000000e-03 58.51976799964905 2809.382958173752
49 1.029521e-01 5.173649e-02 1.317840e+02 5.121562e-02 1.000000e-03 58.65763211250305 2868.083872318268
50 1.007850e-01 4.979979e-02 1.317837e+02 5.098525e-02 1.000000e-03 58.43907141685486 2926.5659210681915
51 1.025505e-01 5.182705e-02 1.317831e+02 5.072347e-02 1.000000e-03 58.7467827796936 2985.3599627017975
52 9.842365e-02 4.787086e-02 1.317822e+02 5.055278e-02 1.000000e-03 58.659294843673706 3044.0527284145355
53 1.006324e-01 5.027109e-02 1.317827e+02 5.036134e-02 1.000000e-03 58.57116103172302 3102.669121980667
54 9.845367e-02 4.832125e-02 1.317807e+02 5.013242e-02 1.000000e-03 57.70805048942566 3160.409159183502
55 9.692132e-02 4.691030e-02 1.317807e+02 5.001103e-02 1.000000e-03 57.971818923950195 3218.411064147949
56 9.597766e-02 4.618331e-02 1.317798e+02 4.979436e-02 1.000000e-03 58.00802993774414 3276.464034318924
57 9.440986e-02 4.484310e-02 1.317784e+02 4.956676e-02 1.000000e-03 57.61544990539551 3334.1257214546204
58 9.481725e-02 4.545947e-02 1.317768e+02 4.935779e-02 1.000000e-03 58.08498501777649 3392.2554647922516
59 9.382393e-02 4.458106e-02 1.317768e+02 4.924287e-02 1.000000e-03 57.847100257873535 3450.135512828827
60 9.440891e-02 4.535587e-02 1.317743e+02 4.905304e-02 1.000000e-03 58.13170409202576 3508.3115091323853
61 9.248098e-02 4.367159e-02 1.317742e+02 4.880939e-02 1.000000e-03 57.99642491340637 3566.3347408771515
62 9.111657e-02 4.248007e-02 1.317741e+02 4.863650e-02 1.000000e-03 57.879472732543945 3624.2584099769592
63 9.130044e-02 4.286103e-02 1.317745e+02 4.843941e-02 1.000000e-03 58.016613245010376 3682.319876432419
64 9.164612e-02 4.331482e-02 1.317734e+02 4.833130e-02 1.000000e-03 58.30593538284302 3740.658446788788
65 8.976794e-02 4.158383e-02 1.317713e+02 4.818411e-02 1.000000e-03 58.40541648864746 3799.095824241638
66 8.965997e-02 4.160150e-02 1.317715e+02 4.805847e-02 1.000000e-03 59.05550146102905 3858.211512565613
67 8.921006e-02 4.129445e-02 1.317712e+02 4.791561e-02 1.000000e-03 58.36874222755432 3916.6241981983185
68 8.846018e-02 4.076129e-02 1.317697e+02 4.769889e-02 1.000000e-03 58.223490715026855 3974.89208984375
69 8.785094e-02 4.025803e-02 1.317714e+02 4.759291e-02 1.000000e-03 59.07948613166809 4034.015394926071
70 8.761692e-02 4.018233e-02 1.317713e+02 4.743459e-02 1.000000e-03 59.0200879573822 4093.0807251930237
71 8.731357e-02 4.004985e-02 1.317696e+02 4.726372e-02 1.000000e-03 58.31291055679321 4151.436686515808
72 8.683092e-02 3.969955e-02 1.317681e+02 4.713137e-02 1.000000e-03 58.55150532722473 4210.031161785126
73 8.620425e-02 3.918058e-02 1.317675e+02 4.702368e-02 1.000000e-03 57.6591694355011 4267.733245372772
74 8.531527e-02 3.846428e-02 1.317667e+02 4.685099e-02 1.000000e-03 58.10992193222046 4325.886674165726
