epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 3.896601e+00 3.590409e+00 2.277184e+02 3.061927e-01 1.000000e-03 448.08138394355774 448.0979449748993
2 1.535726e-01 8.684398e-02 2.278183e+02 6.672866e-02 1.000000e-03 447.04877400398254 895.3222548961639
3 1.150871e-01 6.110053e-02 2.279328e+02 5.398662e-02 1.000000e-03 447.17059111595154 1342.542235136032
4 1.046155e-01 5.529925e-02 2.279934e+02 4.931629e-02 1.000000e-03 447.04711651802063 1789.646538734436
5 9.841923e-02 5.149971e-02 2.280207e+02 4.691952e-02 1.000000e-03 447.18221831321716 2236.875292301178
6 9.503459e-02 4.953497e-02 2.280336e+02 4.549962e-02 1.000000e-03 448.78957056999207 2685.713180065155
7 9.175390e-02 4.719787e-02 2.280383e+02 4.455603e-02 1.000000e-03 446.13893580436707 3131.8981671333313
8 8.910755e-02 4.547981e-02 2.280424e+02 4.362774e-02 1.000000e-03 447.81980872154236 3579.7692844867706
9 8.673841e-02 4.399103e-02 2.280447e+02 4.274739e-02 1.000000e-03 447.7101972103119 4027.5317044258118
10 8.486005e-02 4.273098e-02 2.280471e+02 4.212907e-02 1.000000e-03 448.17021894454956 4475.749279975891
11 8.307454e-02 4.150296e-02 2.280481e+02 4.157158e-02 1.000000e-03 447.8235914707184 4923.624521493912
12 8.215133e-02 4.096664e-02 2.280515e+02 4.118469e-02 1.000000e-03 447.9931287765503 5371.67329621315
13 8.043941e-02 3.977684e-02 2.280524e+02 4.066257e-02 1.000000e-03 446.51314759254456 5818.234058856964
14 7.922747e-02 3.907091e-02 2.280547e+02 4.015656e-02 1.000000e-03 446.8420979976654 6265.12402009964
15 7.794841e-02 3.822114e-02 2.280569e+02 3.972727e-02 1.000000e-03 447.9011585712433 6713.081164121628
16 7.915489e-02 3.944570e-02 2.280590e+02 3.970919e-02 1.000000e-03 449.85685110092163 7162.9877054691315
17 7.613992e-02 3.704399e-02 2.280608e+02 3.909592e-02 1.000000e-03 448.978239774704 7612.002354383469
18 7.518831e-02 3.648723e-02 2.280621e+02 3.870109e-02 1.000000e-03 448.31058406829834 8060.368613004684
19 7.421321e-02 3.591826e-02 2.280627e+02 3.829495e-02 1.000000e-03 448.6880884170532 8509.112294197083
20 7.310857e-02 3.513749e-02 2.280638e+02 3.797108e-02 1.000000e-03 447.43657398223877 8956.598216056824
21 7.275935e-02 3.474728e-02 2.280656e+02 3.801208e-02 1.000000e-03 448.9510295391083 9405.593614339828
22 7.194533e-02 3.435326e-02 2.280667e+02 3.759207e-02 1.000000e-03 449.2090141773224 9854.852085351944
23 9.890889e-01 6.157989e-01 2.280664e+02 3.732900e-01 1.000000e-03 448.1107416152954 10303.010828733444
24 2.940986e-01 1.855519e-01 2.280668e+02 1.085467e-01 1.000000e-03 446.95459818840027 10750.010929584503
25 1.666632e-01 1.229917e-01 2.280621e+02 4.367148e-02 1.000000e-03 447.3609127998352 11197.413886785507
26 7.440797e-02 3.561855e-02 2.280608e+02 3.878942e-02 1.000000e-03 447.4914901256561 11644.950929403305
27 7.432406e-02 3.525071e-02 2.280602e+02 3.907334e-02 1.000000e-03 447.26602482795715 12092.252977848053
28 1.015212e-01 3.534967e-02 2.280598e+02 6.617148e-02 1.000000e-03 448.15713572502136 12540.447267770767
29 1.915234e-01 1.315482e-01 2.280592e+02 5.997520e-02 1.000000e-03 447.8483211994171 12988.340960502625
30 4.036926e+00 3.828411e+00 2.280665e+02 2.085147e-01 1.000000e-03 449.0857181549072 13437.46932721138
31 7.121518e-02 3.347157e-02 2.280582e+02 3.774361e-02 1.000000e-03 447.57948565483093 13885.095404148102
32 2.692104e+01 3.983718e+00 2.280863e+02 2.293733e+01 1.000000e-03 447.44645524024963 14332.660588979721
33 1.571824e+01 1.085208e+00 2.280955e+02 1.463303e+01 1.000000e-03 448.66451716423035 14781.359952449799
34 6.483143e+00 4.678814e-01 2.280954e+02 6.015261e+00 1.000000e-03 448.51751589775085 15229.921435832977
35 2.010942e+00 2.193680e-01 2.280992e+02 1.791574e+00 1.000000e-03 447.5885260105133 15677.545174837112
36 3.020995e+00 3.321892e-01 2.281023e+02 2.688805e+00 1.000000e-03 447.1583924293518 16124.747048854828
37 1.340792e+00 1.139438e-01 2.281029e+02 1.226848e+00 1.000000e-03 447.66555619239807 16572.454155683517
38 7.926292e-01 7.547513e-02 2.281069e+02 7.171541e-01 1.000000e-03 448.16159296035767 17020.651146650314
39 5.068895e-01 1.437354e-01 2.281100e+02 3.631541e-01 1.000000e-03 447.1654884815216 17467.86141729355
40 6.754704e-01 5.965602e-02 2.281116e+02 6.158144e-01 1.000000e-03 448.4284222126007 17916.323181390762
41 6.032841e-01 2.287179e-01 2.281108e+02 3.745662e-01 1.000000e-03 447.889723777771 18364.248586654663
42 1.323674e+00 4.331889e-02 2.281115e+02 1.280355e+00 1.000000e-03 447.2828140258789 18811.57467865944
43 3.954971e+01 1.837702e+01 2.280785e+02 2.117269e+01 1.000000e-03 447.54240918159485 19259.152150392532
44 1.248733e+01 5.585085e+00 2.281062e+02 6.902250e+00 1.000000e-03 447.97768902778625 19707.17370390892
45 1.150056e+01 2.974604e+00 2.281125e+02 8.525955e+00 1.000000e-03 449.212628364563 20156.42867422104
46 2.875542e-01 8.254396e-02 2.281165e+02 2.050102e-01 1.000000e-03 448.1801071166992 20604.645227909088
47 4.687962e-01 5.082838e-02 2.281208e+02 4.179678e-01 1.000000e-03 447.7590756416321 21052.438553333282
48 3.330057e-01 1.648147e-01 2.281267e+02 1.681910e-01 1.000000e-03 446.7471194267273 21499.222373962402
49 2.266077e+01 5.006868e+00 2.281305e+02 1.765390e+01 1.000000e-03 447.0877420902252 21946.351870775223
50 6.300226e+00 1.172929e+00 2.281315e+02 5.127296e+00 1.000000e-03 448.72738909721375 22395.123851060867
51 2.442571e+00 4.754033e-01 2.281304e+02 1.967168e+00 1.000000e-03 448.09950733184814 22843.25741004944
52 4.853224e+00 1.343987e+00 2.281274e+02 3.509237e+00 1.000000e-03 447.5208475589752 23290.821739673615
