epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 5.178570e+00 4.975817e+00 0.000000e+00 2.027531e-01 8.145282e-04 2184.457670211792 2184.5165174007416
2 1.836670e+00 1.729349e+00 0.000000e+00 1.073204e-01 6.634562e-04 2135.5419471263885 4320.279581308365
3 1.204556e+00 1.115681e+00 0.000000e+00 8.887441e-02 5.133871e-04 2085.0843386650085 6405.645320653915
4 7.847895e-01 7.037881e-01 0.000000e+00 8.100148e-02 4.181683e-04 2098.7903406620026 8504.71728348732
5 6.004706e-01 5.246757e-01 0.000000e+00 7.579489e-02 3.235816e-04 2089.20352602005 10594.069367408752
6 5.839561e-01 5.120942e-01 0.000000e+00 7.186183e-02 2.635663e-04 2123.5934302806854 12717.95024061203
7 5.198079e-01 4.509400e-01 0.000000e+00 6.886798e-02 2.039495e-04 2143.4067788124084 14861.623433828354
8 4.414690e-01 3.747945e-01 0.000000e+00 6.667452e-02 1.661226e-04 2110.849236011505 16972.731787919998
9 3.892458e-01 3.244625e-01 0.000000e+00 6.478338e-02 1.285468e-04 2069.8406965732574 19042.842554807663
10 3.544531e-01 2.909841e-01 0.000000e+00 6.346894e-02 1.047050e-04 2070.6007080078125 21113.671241760254
11 3.463329e-01 2.840196e-01 0.000000e+00 6.231329e-02 8.102149e-05 2171.99213719368 23285.86810183525
12 3.251415e-01 2.638064e-01 0.000000e+00 6.133510e-02 6.599429e-05 2091.774667739868 25377.927970409393
13 3.070512e-01 2.464613e-01 0.000000e+00 6.058983e-02 5.106685e-05 2178.4597051143646 27556.629668474197
14 2.816555e-01 2.216340e-01 0.000000e+00 6.002146e-02 4.159539e-05 2080.818748474121 29637.663527965546
15 2.384958e-01 1.789384e-01 0.000000e+00 5.955740e-02 3.218681e-05 2078.191761493683 31716.076686143875
16 2.069978e-01 1.477991e-01 0.000000e+00 5.919871e-02 2.621706e-05 2076.109575033188 33792.41845560074
17 1.842597e-01 1.253458e-01 0.000000e+00 5.891392e-02 2.028695e-05 2067.529602766037 35860.220789432526
18 1.666499e-01 1.079725e-01 0.000000e+00 5.867748e-02 1.652429e-05 2060.4204251766205 37920.881591796875
19 1.575431e-01 9.907546e-02 0.000000e+00 5.846761e-02 1.278661e-05 2064.7618861198425 39985.88986539841
20 1.497588e-01 9.145859e-02 0.000000e+00 5.830020e-02 1.041506e-05 2080.920898914337 42067.10447406769
21 1.441721e-01 8.598651e-02 0.000000e+00 5.818558e-02 8.059245e-06 2093.3194510936737 44160.635369062424
22 1.413911e-01 8.332613e-02 0.000000e+00 5.806500e-02 6.564482e-06 2088.93855881691 46249.778119802475
23 1.376948e-01 7.971016e-02 0.000000e+00 5.798468e-02 5.079643e-06 2088.1898736953735 48338.192073345184
24 1.348262e-01 7.690693e-02 0.000000e+00 5.791922e-02 4.137512e-06 2057.2560403347015 50395.65900659561
25 1.319477e-01 7.406892e-02 0.000000e+00 5.787881e-02 3.201636e-06 2063.3437616825104 52459.2726085186
26 1.299770e-01 7.214470e-02 0.000000e+00 5.783227e-02 2.607823e-06 2083.303478002548 54542.801520586014
27 1.276839e-01 6.988060e-02 0.000000e+00 5.780333e-02 2.017952e-06 2082.921304702759 56625.94634079933
28 1.254320e-01 6.764900e-02 0.000000e+00 5.778299e-02 1.643679e-06 2085.3462994098663 58711.50587773323
29 1.240691e-01 6.630507e-02 0.000000e+00 5.776404e-02 1.271890e-06 2063.9570331573486 60775.73199105263
30 1.227150e-01 6.496511e-02 0.000000e+00 5.774991e-02 1.035990e-06 2069.837571144104 62845.79300069809
31 1.216572e-01 6.391679e-02 0.000000e+00 5.774040e-02 8.438435e-07 2084.057292699814 64930.13339924812
32 1.205824e-01 6.285105e-02 0.000000e+00 5.773135e-02 6.529720e-07 2069.050008058548 66999.4288508892
33 1.197865e-01 6.206078e-02 0.000000e+00 5.772573e-02 5.318642e-07 2068.6699028015137 69068.38543534279
34 1.189729e-01 6.125030e-02 0.000000e+00 5.772258e-02 4.115602e-07 2064.646963119507 71133.39517140388
35 1.182492e-01 6.053042e-02 0.000000e+00 5.771882e-02 3.352274e-07 2067.980580329895 73201.59711647034
36 1.177843e-01 6.006769e-02 0.000000e+00 5.771656e-02 2.594013e-07 2087.3069705963135 75289.14504146576
37 1.175066e-01 5.979231e-02 0.000000e+00 5.771433e-02 2.112897e-07 2079.930685520172 77369.27787303925
38 1.170221e-01 5.930913e-02 0.000000e+00 5.771298e-02 1.634975e-07 2084.7671179771423 79454.26260733604
39 1.168464e-01 5.913442e-02 0.000000e+00 5.771195e-02 1.331733e-07 2074.2064459323883 81528.93503284454
40 1.165889e-01 5.887802e-02 0.000000e+00 5.771086e-02 1.030504e-07 2062.0731480121613 83591.25662016869
41 1.164051e-01 5.869488e-02 0.000000e+00 5.771025e-02 8.393750e-08 2074.3682408332825 85665.81267428398
42 1.162251e-01 5.851547e-02 0.000000e+00 5.770964e-02 6.495143e-08 2057.5205416679382 87723.5685749054
43 1.161449e-01 5.843557e-02 0.000000e+00 5.770937e-02 5.290477e-08 2068.6935245990753 89792.48333120346
44 1.160780e-01 5.836917e-02 0.000000e+00 5.770885e-02 4.093808e-08 2069.841239452362 91862.50542974472
45 1.159539e-01 5.824525e-02 0.000000e+00 5.770864e-02 3.334522e-08 2058.2759203910828 93920.89720416069
