epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 5.714060e+00 5.192484e+00 2.307437e+02 5.215759e-01 1.000000e-03 143.9331076145172 143.9463086128235
2 4.431082e-01 3.129245e-01 2.301237e+02 1.301837e-01 1.000000e-03 141.81988549232483 285.8195424079895
3 2.921749e-01 1.959639e-01 2.296992e+02 9.621098e-02 1.000000e-03 141.66940331459045 427.53888154029846
4 2.193824e-01 1.410838e-01 2.295117e+02 7.829861e-02 1.000000e-03 141.65412187576294 569.2330408096313
5 1.671596e-01 9.800075e-02 2.294287e+02 6.915883e-02 1.000000e-03 141.756582736969 711.0348098278046
6 1.575401e-01 9.382231e-02 2.293833e+02 6.371776e-02 1.000000e-03 141.3880581855774 852.4719023704529
7 1.430636e-01 8.316088e-02 2.293454e+02 5.990270e-02 1.000000e-03 140.89877605438232 993.4115521907806
8 1.297323e-01 7.250436e-02 2.293295e+02 5.722798e-02 1.000000e-03 140.67623829841614 1134.132379770279
9 1.257570e-01 7.064371e-02 2.293284e+02 5.511329e-02 1.000000e-03 141.52811884880066 1275.7063529491425
10 1.237918e-01 7.030191e-02 2.293386e+02 5.348992e-02 1.000000e-03 140.31591701507568 1416.067557811737
11 1.280158e-01 7.584128e-02 2.293547e+02 5.217448e-02 1.000000e-03 141.08001327514648 1557.1935849189758
12 1.163971e-01 6.551268e-02 2.293618e+02 5.088446e-02 1.000000e-03 140.94811964035034 1698.1763186454773
13 1.108929e-01 6.113657e-02 2.293639e+02 4.975632e-02 1.000000e-03 141.7094931602478 1839.9332313537598
14 1.038056e-01 5.503977e-02 2.293622e+02 4.876588e-02 1.000000e-03 141.76714491844177 1981.7456049919128
15 1.005737e-01 5.276408e-02 2.293607e+02 4.780963e-02 1.000000e-03 141.77529215812683 2123.568436384201
16 9.783533e-02 5.087987e-02 2.293557e+02 4.695545e-02 1.000000e-03 141.39317274093628 2265.010411500931
17 9.643644e-02 5.008903e-02 2.293532e+02 4.634742e-02 1.000000e-03 141.18888139724731 2406.24427318573
18 9.490990e-02 4.921647e-02 2.293521e+02 4.569344e-02 1.000000e-03 141.56994557380676 2547.8609969615936
19 9.395274e-02 4.873302e-02 2.293483e+02 4.521972e-02 1.000000e-03 140.96741771697998 2688.870847463608
20 9.278423e-02 4.802977e-02 2.293498e+02 4.475446e-02 1.000000e-03 140.58496379852295 2829.501127719879
21 9.199651e-02 4.769509e-02 2.293474e+02 4.430142e-02 1.000000e-03 141.06921219825745 2970.6176953315735
22 9.116870e-02 4.725328e-02 2.293451e+02 4.391541e-02 1.000000e-03 142.33823084831238 3113.002208471298
23 8.999267e-02 4.652458e-02 2.293407e+02 4.346810e-02 1.000000e-03 141.1798450946808 3254.227272748947
24 8.917995e-02 4.602938e-02 2.293400e+02 4.315056e-02 1.000000e-03 141.88002157211304 3396.1532015800476
25 8.817982e-02 4.539674e-02 2.293372e+02 4.278307e-02 1.000000e-03 142.03381872177124 3538.235771179199
26 8.765862e-02 4.519921e-02 2.293380e+02 4.245941e-02 1.000000e-03 140.7928342819214 3679.0746173858643
27 8.693767e-02 4.481867e-02 2.293376e+02 4.211900e-02 1.000000e-03 140.70180416107178 3819.8215119838715
28 8.600793e-02 4.417957e-02 2.293328e+02 4.182836e-02 1.000000e-03 141.00308465957642 3960.8736011981964
29 8.536379e-02 4.377485e-02 2.293309e+02 4.158894e-02 1.000000e-03 142.31220865249634 4103.230097770691
30 8.466131e-02 4.335343e-02 2.293318e+02 4.130788e-02 1.000000e-03 140.71006655693054 4243.988786935806
31 8.416126e-02 4.310835e-02 2.293319e+02 4.105291e-02 1.000000e-03 140.72008752822876 4384.751057386398
32 8.352918e-02 4.270824e-02 2.293297e+02 4.082094e-02 1.000000e-03 141.3721957206726 4526.17285656929
33 8.303829e-02 4.240911e-02 2.293262e+02 4.062918e-02 1.000000e-03 141.65762209892273 4667.877720594406
34 8.230380e-02 4.189750e-02 2.293247e+02 4.040630e-02 1.000000e-03 143.02143478393555 4810.943175792694
35 8.204623e-02 4.183350e-02 2.293236e+02 4.021273e-02 1.000000e-03 140.98210978507996 4951.966402053833
36 8.156309e-02 4.150807e-02 2.293245e+02 4.005502e-02 1.000000e-03 141.48543787002563 5093.4919192790985
37 8.106334e-02 4.118523e-02 2.293225e+02 3.987811e-02 1.000000e-03 142.12343168258667 5235.657426357269
38 8.055547e-02 4.087785e-02 2.293223e+02 3.967762e-02 1.000000e-03 140.50072169303894 5376.19985294342
39 8.022890e-02 4.071834e-02 2.293233e+02 3.951055e-02 1.000000e-03 142.1303689479828 5518.378335475922
40 7.991886e-02 4.054390e-02 2.293227e+02 3.937497e-02 1.000000e-03 141.28166007995605 5659.705466747284
41 7.957809e-02 4.035705e-02 2.293220e+02 3.922104e-02 1.000000e-03 141.61288952827454 5801.368834495544
42 7.911079e-02 4.005442e-02 2.293205e+02 3.905638e-02 1.000000e-03 143.56337308883667 5944.977814435959
43 7.869850e-02 3.976109e-02 2.293186e+02 3.893741e-02 1.000000e-03 141.58836770057678 6086.612466335297
44 7.834645e-02 3.954777e-02 2.293170e+02 3.879868e-02 1.000000e-03 142.10068011283875 6228.759598970413
45 7.791134e-02 3.925501e-02 2.293157e+02 3.865633e-02 1.000000e-03 142.0954394340515 6370.914223194122
46 7.756679e-02 3.898187e-02 2.293129e+02 3.858492e-02 1.000000e-03 141.49262046813965 6512.453892707825
47 7.725370e-02 3.885235e-02 2.293144e+02 3.840135e-02 1.000000e-03 140.57577228546143 6653.0765907764435
48 7.694608e-02 3.867789e-02 2.293138e+02 3.826819e-02 1.000000e-03 141.47733116149902 6794.600855588913
49 7.639534e-02 3.821530e-02 2.293119e+02 3.818005e-02 1.000000e-03 141.90584516525269 6936.5505113601685
50 7.633273e-02 3.827576e-02 2.293122e+02 3.805697e-02 1.000000e-03 141.8717782497406 7078.467169046402
51 7.587310e-02 3.791187e-02 2.293104e+02 3.796123e-02 1.000000e-03 142.09421300888062 7220.608705282211
52 7.560102e-02 3.776128e-02 2.293101e+02 3.783974e-02 1.000000e-03 142.3994698524475 7363.056333065033
53 7.534496e-02 3.757583e-02 2.293098e+02 3.776913e-02 1.000000e-03 142.91684889793396 7506.021588802338
54 7.500583e-02 3.736951e-02 2.293097e+02 3.763632e-02 1.000000e-03 144.6178708076477 7650.6891577243805
55 7.462076e-02 3.706556e-02 2.293098e+02 3.755521e-02 1.000000e-03 146.04260778427124 7796.778512954712
56 7.419803e-02 3.674032e-02 2.293072e+02 3.745771e-02 1.000000e-03 145.6683006286621 7942.493659257889
57 7.402299e-02 3.664496e-02 2.293079e+02 3.737803e-02 1.000000e-03 145.41038346290588 8087.949662685394
58 7.367789e-02 3.643186e-02 2.293058e+02 3.724604e-02 1.000000e-03 145.30996251106262 8233.306920289993
59 7.345064e-02 3.632739e-02 2.293052e+02 3.712324e-02 1.000000e-03 144.679279088974 8378.031764745712
60 7.316333e-02 3.612633e-02 2.293043e+02 3.703700e-02 1.000000e-03 145.0662989616394 8523.143260717392
61 7.301166e-02 3.603497e-02 2.293038e+02 3.697669e-02 1.000000e-03 145.329363822937 8668.515496969223
62 7.263121e-02 3.574563e-02 2.293034e+02 3.688558e-02 1.000000e-03 145.51762056350708 8814.077062129974
63 7.258625e-02 3.576699e-02 2.293024e+02 3.681926e-02 1.000000e-03 145.93029236793518 8960.052310228348
64 7.229631e-02 3.554898e-02 2.293026e+02 3.674733e-02 1.000000e-03 145.84552645683289 9105.94697189331
65 7.197040e-02 3.532925e-02 2.293023e+02 3.664115e-02 1.000000e-03 145.1465346813202 9251.139644861221
66 7.186417e-02 3.531850e-02 2.293011e+02 3.654568e-02 1.000000e-03 145.23357701301575 9396.419167041779
67 7.159410e-02 3.510576e-02 2.293004e+02 3.648835e-02 1.000000e-03 145.0058398246765 9541.472244024277
68 7.147314e-02 3.503184e-02 2.292996e+02 3.644130e-02 1.000000e-03 145.0692777633667 9686.589042663574
69 7.111130e-02 3.479091e-02 2.292983e+02 3.632039e-02 1.000000e-03 145.1882348060608 9831.825220108032
70 7.075542e-02 3.452125e-02 2.292979e+02 3.623417e-02 1.000000e-03 145.44258618354797 9977.31489610672
71 7.047717e-02 3.427752e-02 2.292959e+02 3.619965e-02 1.000000e-03 145.7135066986084 10123.081224679947
72 7.029991e-02 3.418285e-02 2.292958e+02 3.611706e-02 1.000000e-03 145.59588980674744 10268.724675416946
73 7.026915e-02 3.424333e-02 2.292961e+02 3.602583e-02 1.000000e-03 145.40471243858337 10414.17639040947
74 7.011073e-02 3.412139e-02 2.292957e+02 3.598934e-02 1.000000e-03 146.64959406852722 10560.87119436264
75 6.986628e-02 3.393951e-02 2.292956e+02 3.592677e-02 1.000000e-03 145.20487785339355 10706.126101255417
76 6.971802e-02 3.383439e-02 2.292944e+02 3.588363e-02 1.000000e-03 145.20294976234436 10851.374697685242
77 6.940512e-02 3.362398e-02 2.292930e+02 3.578114e-02 1.000000e-03 145.38328289985657 10996.80871796608
78 6.937474e-02 3.361943e-02 2.292903e+02 3.575531e-02 1.000000e-03 145.30280876159668 11142.158214330673
79 6.899293e-02 3.333021e-02 2.292917e+02 3.566272e-02 1.000000e-03 144.940758228302 11287.144907474518
80 6.869915e-02 3.306567e-02 2.292908e+02 3.563348e-02 1.000000e-03 145.90080952644348 11433.094409704208
81 6.862573e-02 3.306171e-02 2.292890e+02 3.556402e-02 1.000000e-03 145.537743806839 11578.6760430336
82 6.847218e-02 3.296649e-02 2.292894e+02 3.550569e-02 1.000000e-03 145.23804116249084 11723.963524341583
83 6.821787e-02 3.273202e-02 2.292894e+02 3.548585e-02 1.000000e-03 144.0763258934021 11868.085031032562
84 6.810521e-02 3.273090e-02 2.292887e+02 3.537431e-02 1.000000e-03 144.823091506958 12012.953663349152
85 6.802236e-02 3.267390e-02 2.292876e+02 3.534845e-02 1.000000e-03 145.60745787620544 12158.610241174698
86 6.784909e-02 3.255787e-02 2.292876e+02 3.529122e-02 1.000000e-03 144.09197473526 12302.7501142025
87 6.771998e-02 3.244297e-02 2.292844e+02 3.527701e-02 1.000000e-03 145.82219457626343 12448.619504451752
88 6.754408e-02 3.234378e-02 2.292840e+02 3.520030e-02 1.000000e-03 145.309175491333 12593.973859548569
89 6.728014e-02 3.213725e-02 2.292834e+02 3.514289e-02 1.000000e-03 145.60182404518127 12739.621151208878
90 6.716349e-02 3.205021e-02 2.292818e+02 3.511328e-02 1.000000e-03 145.74749636650085 12885.415048360825
91 6.708809e-02 3.200883e-02 2.292807e+02 3.507926e-02 1.000000e-03 145.58660435676575 13031.052451610565
92 6.700117e-02 3.197021e-02 2.292808e+02 3.503096e-02 1.000000e-03 145.11393880844116 13176.21495938301
93 6.673857e-02 3.176506e-02 2.292797e+02 3.497351e-02 1.000000e-03 144.06690168380737 13320.328439235687
94 6.655185e-02 3.164177e-02 2.292781e+02 3.491007e-02 1.000000e-03 145.43523645401 13465.809257745743
95 6.652018e-02 3.161845e-02 2.292762e+02 3.490173e-02 1.000000e-03 146.07871103286743 13611.933265447617
96 6.637836e-02 3.153488e-02 2.292757e+02 3.484349e-02 1.000000e-03 145.68059539794922 13757.65860080719
97 6.613166e-02 3.133083e-02 2.292737e+02 3.480083e-02 1.000000e-03 144.30147528648376 13902.001390695572
98 6.607309e-02 3.133131e-02 2.292736e+02 3.474178e-02 1.000000e-03 145.40255975723267 14047.451199769974
99 6.596065e-02 3.124359e-02 2.292731e+02 3.471706e-02 1.000000e-03 145.52419710159302 14193.024950027466
100 6.575381e-02 3.105332e-02 2.292713e+02 3.470048e-02 1.000000e-03 144.94482111930847 14338.018016576767
101 6.568263e-02 3.102231e-02 2.292709e+02 3.466032e-02 1.000000e-03 144.46643042564392 14482.531781673431
102 6.552360e-02 3.091623e-02 2.292696e+02 3.460737e-02 1.000000e-03 144.4998378753662 14627.080670595169
