epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 4.877110e+00 4.539374e+00 4.061127e+00 3.377360e-01 1.000000e-03 13413.491529226303 13413.559576511383
2 6.058282e-01 3.677351e-01 4.085204e+00 2.380931e-01 1.000000e-03 13542.166318416595 26956.03833413124
3 6.358672e-01 4.015087e-01 4.091089e+00 2.343585e-01 1.000000e-03 13514.492645025253 40470.7466814518
4 3.195982e+00 2.945014e+00 4.139928e+00 2.509676e-01 1.000000e-03 13481.390713453293 53952.29251766205
5 6.061348e-01 3.739384e-01 4.169528e+00 2.321963e-01 1.000000e-03 13524.51627111435 67476.92747664452
6 7.316109e-01 4.409590e-01 4.177401e+00 2.906519e-01 1.000000e-03 13488.922472715378 80966.04585695267
7 1.626951e+00 1.311988e+00 4.191260e+00 3.149629e-01 1.000000e-03 13482.411632299423 94448.66320157051
8 7.635877e-01 5.221232e-01 4.347805e+00 2.414644e-01 1.000000e-03 13466.529074668884 107915.31526780128
9 7.139384e-01 4.815092e-01 4.352326e+00 2.324292e-01 1.000000e-03 13538.52222251892 121453.95923137665
10 6.010058e-01 3.717722e-01 4.357565e+00 2.292336e-01 1.000000e-03 13555.403333902359 135009.55121803284
11 5.971814e-01 3.699099e-01 4.360076e+00 2.272714e-01 1.000000e-03 13442.67403960228 148452.4910109043
12 5.940407e-01 3.681608e-01 4.363670e+00 2.258800e-01 1.000000e-03 13508.953740119934 161961.7130396366
13 3.238599e+00 2.526389e+00 4.884702e+00 7.122102e-01 1.000000e-03 13499.907296180725 175461.91737127304
14 6.062069e-01 3.729945e-01 5.312027e+00 2.332124e-01 1.000000e-03 13491.08459854126 188953.1908841133
15 6.000180e-01 3.710181e-01 5.286270e+00 2.289999e-01 1.000000e-03 13415.849200963974 202369.21639156342
16 6.467186e-01 4.128544e-01 5.271230e+00 2.338642e-01 1.000000e-03 13457.962848186493 215827.2901983261
17 5.935132e-01 3.677132e-01 5.260503e+00 2.257999e-01 1.000000e-03 13418.432866573334 229246.11664676666
18 5.929008e-01 3.683666e-01 5.249276e+00 2.245343e-01 1.000000e-03 13469.383080720901 242715.75276350975
19 5.880070e-01 3.642710e-01 5.243576e+00 2.237360e-01 1.000000e-03 13487.020696401596 256203.0675239563
20 5.855039e-01 3.624861e-01 5.239977e+00 2.230178e-01 1.000000e-03 13519.22892665863 269722.6543841362
21 5.844178e-01 3.619721e-01 5.235502e+00 2.224458e-01 1.000000e-03 13515.466265916824 283238.61408376694
22 5.826104e-01 3.606490e-01 5.229884e+00 2.219614e-01 1.000000e-03 13439.006838798523 296678.17185521126
23 5.812491e-01 3.597334e-01 5.225814e+00 2.215157e-01 1.000000e-03 13499.688441514969 310178.1412923336
24 5.797711e-01 3.585561e-01 5.219076e+00 2.212149e-01 1.000000e-03 13473.674270629883 323652.0812985897
25 5.782514e-01 3.574798e-01 5.216313e+00 2.207716e-01 1.000000e-03 13506.841271162033 337159.1851756573
26 6.125112e-01 3.920458e-01 5.214742e+00 2.204654e-01 1.000000e-03 13492.139375925064 350651.55019903183
27 5.760049e-01 3.558869e-01 5.210984e+00 2.201180e-01 1.000000e-03 13429.02428984642 364080.7037577629
28 5.749410e-01 3.551153e-01 5.207914e+00 2.198257e-01 1.000000e-03 13460.572969198227 377541.4589691162
29 5.738376e-01 3.542683e-01 5.204011e+00 2.195693e-01 1.000000e-03 13507.300283432007 391049.04731822014
30 5.727256e-01 3.533766e-01 5.200472e+00 2.193490e-01 1.000000e-03 13497.170903682709 404546.49673724174
