epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 2.978741e+01 2.925829e+01 3.036056e+00 5.291154e-01 1.000000e-03 500.713463306427 500.7292618751526
2 1.533565e+00 1.273562e+00 2.843049e+00 2.600027e-01 1.000000e-03 494.0386998653412 994.9274795055389
3 1.196746e+00 9.524476e-01 2.767280e+00 2.442983e-01 1.000000e-03 493.5585813522339 1488.529863834381
4 1.058819e+00 8.230436e-01 2.734822e+00 2.357756e-01 1.000000e-03 491.71390748023987 1980.2937326431274
5 9.651667e-01 7.354040e-01 2.717864e+00 2.297628e-01 1.000000e-03 503.682430267334 2484.0229930877686
6 1.344850e+00 1.118729e+00 2.704526e+00 2.261209e-01 1.000000e-03 501.34435176849365 2985.4159440994263
7 8.860373e-01 6.625963e-01 2.650517e+00 2.234410e-01 1.000000e-03 490.10410380363464 3475.5538227558136
8 1.190342e+00 9.674537e-01 2.651082e+00 2.228886e-01 1.000000e-03 495.5626859664917 3971.170661687851
9 8.330209e-01 6.102889e-01 2.638564e+00 2.227320e-01 1.000000e-03 492.3438458442688 4463.552674770355
10 9.591119e+00 8.468782e+00 2.638315e+00 1.122337e+00 1.000000e-03 492.4412112236023 4956.069664955139
11 1.259955e+00 1.038410e+00 2.624268e+00 2.215450e-01 1.000000e-03 502.0177228450775 5458.127386331558
12 1.045060e+00 8.047697e-01 2.608408e+00 2.402900e-01 1.000000e-03 504.22258496284485 5962.38822054863
13 2.815907e+01 2.302993e+01 2.923201e+00 5.129141e+00 1.000000e-03 501.3068325519562 6463.735067605972
14 3.392019e+00 1.611858e+00 3.534049e+00 1.780160e+00 1.000000e-03 502.7858180999756 6966.56015086174
15 2.155622e+01 2.085555e+01 3.619480e+00 7.006668e-01 1.000000e-03 495.0270447731018 7461.621210336685
16 3.441376e+01 2.179540e+01 3.583301e+00 1.261836e+01 1.000000e-03 495.1124575138092 7956.773807287216
17 1.741974e+01 9.944510e+00 3.443278e+00 7.475227e+00 1.000000e-03 494.68563294410706 8451.492250680923
18 1.831589e+00 8.833311e-01 3.277720e+00 9.482580e-01 1.000000e-03 493.0465648174286 8944.572335004807
19 3.764341e+00 2.925306e+00 3.225934e+00 8.390341e-01 1.000000e-03 492.9713137149811 9437.581459522247
20 2.480021e+00 1.841341e+00 3.397840e+00 6.386805e-01 1.000000e-03 496.9217777252197 9934.540446996689
21 1.435384e+01 9.522526e+00 3.509945e+00 4.831311e+00 1.000000e-03 495.111848115921 10429.691425561905
22 4.694342e+01 3.843643e+01 3.951872e+00 8.506986e+00 1.000000e-03 495.52951669692993 10925.258828401566
23 4.683201e+00 4.286899e+00 3.850935e+00 3.963017e-01 1.000000e-03 498.5587902069092 11423.854593992233
24 4.568272e+01 2.696523e+01 3.947407e+00 1.871749e+01 1.000000e-03 504.64164328575134 11928.53515958786
25 2.477365e+00 5.933730e-01 3.846842e+00 1.883992e+00 1.000000e-03 504.0364034175873 12432.610970020294
26 1.302738e+01 9.449446e+00 3.852002e+00 3.577929e+00 1.000000e-03 496.2332766056061 12928.87830877304
27 2.348309e+01 1.898503e+01 3.826040e+00 4.498064e+00 1.000000e-03 493.0053961277008 13421.92144727707
28 7.062230e+01 2.854668e+01 3.982630e+00 4.207562e+01 1.000000e-03 498.3328597545624 13920.292210817337
29 1.649654e+01 9.613275e+00 3.799630e+00 6.883265e+00 1.000000e-03 500.88321805000305 14421.216599702835
30 2.117095e+00 1.361115e+00 3.885475e+00 7.559803e-01 1.000000e-03 494.89295077323914 14916.150836229324
31 2.620829e+01 1.084952e+01 3.707753e+00 1.535878e+01 1.000000e-03 504.09792041778564 15420.28597688675
32 1.386807e+01 4.818370e+00 3.412816e+00 9.049699e+00 1.000000e-03 500.39993047714233 15920.724797010422
33 4.721434e+00 1.834298e+00 3.309535e+00 2.887136e+00 1.000000e-03 502.16672468185425 16422.93296647072
34 2.441988e+00 1.006520e+00 3.044215e+00 1.435468e+00 1.000000e-03 504.79054832458496 16927.763731002808
35 2.518170e+01 8.143410e+00 2.937526e+00 1.703829e+01 1.000000e-03 497.7440550327301 17425.545298099518
36 9.724551e+00 2.388648e+00 2.816461e+00 7.335903e+00 1.000000e-03 494.8684480190277 17920.447503089905
37 4.182555e+01 3.541979e+01 2.698064e+00 6.405761e+00 1.000000e-03 492.8155143260956 18413.297044038773
38 1.517539e+01 6.445878e+00 2.359052e+00 8.729509e+00 1.000000e-03 504.5002233982086 18917.83478164673
39 7.928631e+00 2.664554e+00 2.283244e+00 5.264077e+00 1.000000e-03 501.87312412261963 19419.73992228508
40 7.279395e+00 4.580942e+00 2.289915e+00 2.698453e+00 1.000000e-03 497.80852222442627 19917.589294195175
41 1.554121e+01 1.143051e+01 2.392866e+00 4.110702e+00 1.000000e-03 499.3028259277344 20416.93141102791
42 7.430175e+00 4.906972e+00 2.140960e+00 2.523203e+00 1.000000e-03 499.4147324562073 20916.385301828384
43 3.556384e+00 2.829552e+00 2.083443e+00 7.268330e-01 1.000000e-03 500.1536991596222 21416.576865434647
44 6.223862e+01 4.631138e+01 3.082504e+00 1.592724e+01 1.000000e-03 499.44238114356995 21916.058307409286
45 5.707756e+00 2.236286e+00 2.770262e+00 3.471470e+00 1.000000e-03 502.9929506778717 22419.09019470215
46 3.305486e+00 2.249962e+00 2.479480e+00 1.055525e+00 1.000000e-03 502.0243239402771 22921.15267443657
47 1.149065e+00 6.998926e-01 2.232854e+00 4.491726e-01 1.000000e-03 498.95440697669983 23420.149124860764
48 3.442543e+00 2.078003e+00 2.175734e+00 1.364540e+00 1.000000e-03 501.9162902832031 23922.10017490387
49 9.762265e-01 5.045245e-01 2.154181e+00 4.717019e-01 1.000000e-03 504.0475902557373 24426.184594631195
50 6.890233e+00 4.937165e+00 2.179308e+00 1.953068e+00 1.000000e-03 497.1561779975891 24923.37504196167
51 6.539978e+00 4.017355e+00 2.186157e+00 2.522623e+00 1.000000e-03 496.91971731185913 25420.33725643158
52 1.448383e+01 7.577459e+00 2.188891e+00 6.906369e+00 1.000000e-03 498.84777784347534 25919.224549770355
53 2.627123e+00 1.625233e+00 2.157038e+00 1.001890e+00 1.000000e-03 503.3990375995636 26422.662565231323
54 2.452961e+00 2.022341e+00 2.183559e+00 4.306201e-01 1.000000e-03 503.5620687007904 26926.263205766678
55 6.328760e+00 3.421708e+00 2.165285e+00 2.907052e+00 1.000000e-03 503.05123925209045 27429.35133075714
56 7.077033e+01 3.361650e+01 2.475486e+00 3.715383e+01 1.000000e-03 502.5977063179016 27931.989804506302
57 5.643763e+01 1.330703e+01 2.453587e+00 4.313060e+01 1.000000e-03 502.9790029525757 28435.00750041008
58 5.066756e+00 1.911542e+00 2.012060e+00 3.155214e+00 1.000000e-03 504.11274909973145 28939.152523994446
59 1.479567e+00 5.610885e-01 1.968072e+00 9.184787e-01 1.000000e-03 501.1751971244812 29440.368503808975
60 1.363692e+01 9.532396e+00 2.568220e+00 4.104521e+00 1.000000e-03 496.65236806869507 29937.15637111664
