epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 2.160130e+01 2.114250e+01 0.000000e+00 4.588067e-01 8.145282e-04 2255.8218955993652 2255.8844799995422
2 8.025034e+00 7.721647e+00 0.000000e+00 3.033870e-01 6.302877e-04 2278.253237247467 4534.286239385605
3 5.489735e+00 5.208324e+00 0.000000e+00 2.814109e-01 5.133871e-04 2279.704385995865 6814.222348451614
4 4.537848e+00 4.269560e+00 0.000000e+00 2.682872e-01 3.972626e-04 2270.104182243347 9084.54827094078
5 3.716974e+00 3.457734e+00 0.000000e+00 2.592393e-01 3.235816e-04 2272.9483454227448 11357.70296573639
6 3.084412e+00 2.830816e+00 0.000000e+00 2.535958e-01 2.503897e-04 2273.2278051376343 13631.174010038376
7 2.452570e+00 2.202902e+00 0.000000e+00 2.496683e-01 1.937533e-04 2274.922530412674 15906.348076343536
8 2.033444e+00 1.786738e+00 0.000000e+00 2.467061e-01 1.578175e-04 2273.1426446437836 18179.764125347137
9 1.776522e+00 1.532080e+00 0.000000e+00 2.444414e-01 1.221203e-04 2273.438793897629 20453.416186094284
10 1.597650e+00 1.354955e+00 0.000000e+00 2.426945e-01 9.947045e-05 2279.1328616142273 22732.826120615005
11 1.485518e+00 1.244184e+00 0.000000e+00 2.413342e-01 7.697094e-05 2275.4898681640625 25008.53502345085
12 1.388476e+00 1.148201e+00 0.000000e+00 2.402751e-01 6.269500e-05 2282.472861289978 27291.290071487427
13 1.305833e+00 1.066378e+00 0.000000e+00 2.394546e-01 4.851383e-05 2278.710010290146 29570.266525506973
14 1.242870e+00 1.004048e+00 0.000000e+00 2.388218e-01 3.754035e-05 2270.9267156124115 31841.406603574753
15 1.189216e+00 9.508971e-01 0.000000e+00 2.383193e-01 3.057767e-05 2279.6639919281006 34121.35595393181
16 1.143949e+00 9.060077e-01 0.000000e+00 2.379416e-01 2.366122e-05 2270.6076395511627 36392.30365562439
17 1.090029e+00 8.523628e-01 0.000000e+00 2.376667e-01 1.927273e-05 2274.6341638565063 38667.164053201675
18 1.053524e+00 8.160777e-01 0.000000e+00 2.374462e-01 1.491337e-05 2273.083275794983 40940.503037691116
19 1.012294e+00 7.750061e-01 0.000000e+00 2.372879e-01 1.214736e-05 2279.826798439026 43220.58418011665
20 9.792284e-01 7.420548e-01 0.000000e+00 2.371736e-01 9.399716e-06 2275.668008327484 45496.537561655045
21 9.488140e-01 7.117164e-01 0.000000e+00 2.370975e-01 7.273567e-06 2274.7483463287354 47771.52927017212
22 9.174507e-01 6.804046e-01 0.000000e+00 2.370461e-01 5.924525e-06 2269.115065097809 50040.93173789978
23 8.948251e-01 6.578101e-01 0.000000e+00 2.370150e-01 4.584439e-06 2273.834470272064 52315.04256772995
24 8.733820e-01 6.363816e-01 0.000000e+00 2.370005e-01 3.734155e-06 2277.9533274173737 54593.26044297218
25 8.563293e-01 6.193319e-01 0.000000e+00 2.369974e-01 2.889516e-06 2275.017522573471 56868.56234383583
26 8.383826e-01 6.013763e-01 0.000000e+00 2.370063e-01 2.353592e-06 2269.4324402809143 59138.290321826935
27 8.235461e-01 5.865208e-01 0.000000e+00 2.370252e-01 1.821226e-06 2275.5369222164154 61414.10833930969
28 8.141276e-01 5.770850e-01 0.000000e+00 2.370426e-01 1.409278e-06 2273.2328357696533 63687.56958413124
29 8.024292e-01 5.653568e-01 0.000000e+00 2.370724e-01 1.147896e-06 2271.4441006183624 65959.23571920395
30 7.939676e-01 5.568734e-01 0.000000e+00 2.370943e-01 8.882503e-07 2280.6583428382874 68240.22206687927
31 7.875607e-01 5.504428e-01 0.000000e+00 2.371179e-01 7.235050e-07 2273.753139257431 70514.18707036972
32 7.815548e-01 5.444047e-01 0.000000e+00 2.371502e-01 5.598532e-07 2267.915500640869 72782.3275270462
33 7.767613e-01 5.395925e-01 0.000000e+00 2.371688e-01 4.560163e-07 2270.0394971370697 75052.65816760063
34 7.736272e-01 5.364353e-01 0.000000e+00 2.371920e-01 3.528686e-07 2277.22359085083 77330.09037804604
35 7.698542e-01 5.326449e-01 0.000000e+00 2.372093e-01 2.730522e-07 2268.866921901703 79599.19857525826
36 7.668982e-01 5.296726e-01 0.000000e+00 2.372256e-01 2.224087e-07 2278.881061553955 81878.36204743385
37 7.648351e-01 5.275902e-01 0.000000e+00 2.372449e-01 1.721014e-07 2267.7429337501526 84146.34293413162
38 7.640593e-01 5.268111e-01 0.000000e+00 2.372483e-01 1.401815e-07 2277.4145646095276 86424.0129828453
39 7.623626e-01 5.251033e-01 0.000000e+00 2.372593e-01 1.084734e-07 2268.2271645069122 88692.51056933403
40 7.611218e-01 5.238497e-01 0.000000e+00 2.372721e-01 8.835466e-08 2266.278620004654 90959.03888010979
41 7.605530e-01 5.232762e-01 0.000000e+00 2.372768e-01 6.836946e-08 2271.834640979767 93231.094581604
42 7.600439e-01 5.227623e-01 0.000000e+00 2.372817e-01 5.290477e-08 2268.439035177231 95499.82577037811
43 7.592955e-01 5.220124e-01 0.000000e+00 2.372831e-01 4.309243e-08 2269.372747898102 97769.4540758133
44 7.589601e-01 5.216748e-01 0.000000e+00 2.372853e-01 3.334522e-08 2274.0650317668915 100043.80632400513
45 7.585174e-01 5.212246e-01 0.000000e+00 2.372928e-01 2.716063e-08 2268.679971933365 102312.70879745483
