epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 7.518683e+01 7.409706e+01 2.032143e+00 1.089770e+00 1.000000e-03 189.8145227432251 189.83395290374756
2 5.872378e+00 5.533498e+00 1.130095e+00 3.388804e-01 1.000000e-03 186.9881148338318 377.0561361312866
3 3.355353e+00 3.056755e+00 1.271487e+00 2.985981e-01 1.000000e-03 187.53850150108337 564.6360228061676
4 3.087334e+00 2.804574e+00 1.380447e+00 2.827603e-01 1.000000e-03 186.85119700431824 751.5377972126007
5 2.404176e+00 2.136060e+00 1.493240e+00 2.681151e-01 1.000000e-03 186.90943312644958 938.4954268932343
6 2.005865e+00 1.747111e+00 1.544440e+00 2.587547e-01 1.000000e-03 186.3659472465515 1124.9118103981018
7 1.824450e+00 1.572993e+00 1.536058e+00 2.514565e-01 1.000000e-03 186.95566868782043 1311.9182271957397
8 1.802544e+00 1.557049e+00 1.500262e+00 2.454946e-01 1.000000e-03 187.39439797401428 1499.3625338077545
9 1.714870e+00 1.474268e+00 1.472734e+00 2.406024e-01 1.000000e-03 187.2754225730896 1686.6873142719269
10 1.521352e+00 1.284432e+00 1.472029e+00 2.369195e-01 1.000000e-03 186.15301895141602 1872.886019229889
11 1.433994e+00 1.200213e+00 1.498993e+00 2.337809e-01 1.000000e-03 187.5940489768982 2060.5801508426666
12 1.344962e+00 1.114044e+00 1.501378e+00 2.309186e-01 1.000000e-03 188.3664207458496 2248.993152856827
13 1.207035e+00 9.786138e-01 1.502430e+00 2.284215e-01 1.000000e-03 186.21357679367065 2435.2571392059326
14 1.098262e+00 8.720746e-01 1.502968e+00 2.261876e-01 1.000000e-03 186.64741110801697 2621.9490547180176
15 1.001989e+00 7.775061e-01 1.505946e+00 2.244834e-01 1.000000e-03 187.4019477367401 2809.3972725868225
16 9.628230e-01 7.399537e-01 1.474256e+00 2.228693e-01 1.000000e-03 186.43152379989624 2995.8736078739166
17 9.049132e-01 6.834802e-01 1.466893e+00 2.214329e-01 1.000000e-03 186.25080490112305 3182.167287826538
18 8.852715e-01 6.651640e-01 1.452240e+00 2.201074e-01 1.000000e-03 186.89429903030396 3369.1080706119537
19 8.740261e-01 6.551318e-01 1.421264e+00 2.188943e-01 1.000000e-03 187.649432182312 3556.8005170822144
20 8.584002e-01 6.406089e-01 1.418260e+00 2.177913e-01 1.000000e-03 187.40995240211487 3744.2514686584473
21 8.497187e-01 6.329425e-01 1.414693e+00 2.167762e-01 1.000000e-03 186.99323058128357 3931.2908968925476
22 8.243857e-01 6.085265e-01 1.400757e+00 2.158592e-01 1.000000e-03 188.06263709068298 4119.400865793228
23 8.125977e-01 5.977502e-01 1.387850e+00 2.148475e-01 1.000000e-03 188.0837733745575 4307.529710292816
24 8.034345e-01 5.892844e-01 1.369016e+00 2.141501e-01 1.000000e-03 187.76335644721985 4495.341463804245
25 7.843770e-01 5.708828e-01 1.368082e+00 2.134942e-01 1.000000e-03 186.98355317115784 4682.369765758514
26 7.835393e-01 5.707755e-01 1.350034e+00 2.127638e-01 1.000000e-03 186.74335622787476 4869.160131454468
27 7.776326e-01 5.655421e-01 1.367137e+00 2.120905e-01 1.000000e-03 187.2110514640808 5056.41664648056
28 7.679715e-01 5.565076e-01 1.357662e+00 2.114638e-01 1.000000e-03 187.75535082817078 5244.217092990875
29 7.564100e-01 5.454741e-01 1.363104e+00 2.109359e-01 1.000000e-03 187.75073790550232 5432.015906572342
30 7.687589e-01 5.583738e-01 1.371772e+00 2.103851e-01 1.000000e-03 187.46690273284912 5619.526859998703
