epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 4.055668e+00 3.955984e+00 1.199493e-01 9.968395e-02 1.000000e-03 80.90471339225769 80.91975688934326
2 1.626452e-01 1.367791e-01 4.635601e-02 2.586612e-02 1.000000e-03 81.66764330863953 162.66270875930786
3 6.190205e-02 4.033150e-02 4.909170e-02 2.157056e-02 1.000000e-03 80.85031771659851 243.5522804260254
4 5.558823e-02 3.507705e-02 5.033613e-02 2.051118e-02 1.000000e-03 80.35950207710266 323.9472222328186
5 4.654684e-02 2.656690e-02 5.078918e-02 1.997994e-02 1.000000e-03 81.282395362854 405.26995277404785
6 3.945422e-02 1.980976e-02 5.115562e-02 1.964446e-02 1.000000e-03 80.55940794944763 485.8674759864807
7 3.909756e-02 1.973903e-02 5.160034e-02 1.935853e-02 1.000000e-03 78.95566391944885 564.8582246303558
8 3.532815e-02 1.612082e-02 5.220866e-02 1.920733e-02 1.000000e-03 80.19194054603577 645.086644411087
9 3.470657e-02 1.569555e-02 5.281646e-02 1.901102e-02 1.000000e-03 81.65861916542053 726.7768483161926
10 3.435520e-02 1.546588e-02 5.334140e-02 1.888931e-02 1.000000e-03 80.95391273498535 807.765177488327
11 3.158845e+00 2.918024e+00 9.759647e-02 2.408210e-01 1.000000e-03 80.20189785957336 888.0048658847809
12 3.858340e-02 1.978526e-02 5.435391e-02 1.879814e-02 1.000000e-03 81.11586022377014 969.1431546211243
13 3.342611e-02 1.477094e-02 5.464486e-02 1.865517e-02 1.000000e-03 81.38365602493286 1050.5593168735504
14 3.305997e-02 1.451030e-02 5.515835e-02 1.854967e-02 1.000000e-03 80.4334306716919 1131.0245144367218
15 3.264555e-02 1.421998e-02 5.527704e-02 1.842556e-02 1.000000e-03 80.76510119438171 1211.8268828392029
16 3.265750e-02 1.402092e-02 5.591771e-02 1.863657e-02 1.000000e-03 79.91707015037537 1291.7784090042114
17 1.178780e+01 8.774935e+00 2.909607e-01 3.012869e+00 1.000000e-03 80.35400772094727 1372.155281305313
18 9.767134e-01 8.089853e-02 4.722469e-02 8.958149e-01 1.000000e-03 81.07267189025879 1453.256637096405
19 6.595427e-01 8.313155e-02 4.777600e-02 5.764111e-01 1.000000e-03 79.48748922348022 1532.7769482135773
20 4.389642e-01 4.557931e-02 4.882532e-02 3.933849e-01 1.000000e-03 80.4551932811737 1613.2610590457916
21 9.995130e-01 6.005110e-01 5.323283e-02 3.990019e-01 1.000000e-03 80.81945633888245 1694.1030728816986
22 7.799015e-01 1.360365e-01 4.921920e-02 6.438650e-01 1.000000e-03 80.99425196647644 1775.1281566619873
23 3.969703e-01 3.902270e-02 4.811788e-02 3.579476e-01 1.000000e-03 81.86672711372375 1857.0236222743988
24 6.803258e+00 2.236318e+00 1.047681e-01 4.566940e+00 1.000000e-03 80.15259456634521 1937.1997182369232
25 7.616110e+00 1.152323e+00 8.439694e-02 6.463787e+00 1.000000e-03 80.44097709655762 2017.6658017635345
26 8.922166e+00 3.971568e+00 1.414675e-01 4.950598e+00 1.000000e-03 81.26949143409729 2098.9629204273224
27 4.000723e+00 8.812026e-01 7.886636e-02 3.119521e+00 1.000000e-03 81.17283844947815 2180.164894580841
28 1.408918e+01 1.034882e+01 3.155068e-01 3.740361e+00 1.000000e-03 80.80221343040466 2260.997941017151
29 6.883056e+00 3.323810e+00 1.247158e-01 3.559246e+00 1.000000e-03 79.6963140964508 2340.721899032593
30 2.134008e+00 3.768339e-01 5.303364e-02 1.757174e+00 1.000000e-03 82.38152432441711 2423.1332964897156
31 2.092352e+00 9.463240e-01 5.222487e-02 1.146028e+00 1.000000e-03 82.0243501663208 2505.1821794509888
32 9.713314e+00 3.649479e+00 1.563946e-01 6.063835e+00 1.000000e-03 80.75367569923401 2585.958841085434
33 1.776745e+00 9.735956e-02 4.403598e-02 1.679385e+00 1.000000e-03 82.24542808532715 2668.232526779175
34 1.893118e+00 1.323579e-01 4.558879e-02 1.760760e+00 1.000000e-03 82.95970058441162 2751.2223575115204
35 7.757282e+00 6.128243e+00 1.808987e-01 1.629039e+00 1.000000e-03 83.35259342193604 2834.602784872055
36 7.104869e+00 4.340594e+00 1.483861e-01 2.764276e+00 1.000000e-03 82.92127966880798 2917.5482738018036
37 2.346467e+00 9.199524e-01 5.383116e-02 1.426514e+00 1.000000e-03 83.06972599029541 3000.6476559638977
38 1.415138e+01 7.624503e+00 2.572031e-01 6.526877e+00 1.000000e-03 83.12601828575134 3083.7980949878693
39 3.452975e+00 3.682725e-01 6.101800e-02 3.084703e+00 1.000000e-03 82.70240545272827 3166.532603740692
40 2.323040e+00 1.702946e-01 5.215804e-02 2.152746e+00 1.000000e-03 82.5209801197052 3249.078085422516
41 7.648936e+00 2.263445e+00 1.523971e-01 5.385490e+00 1.000000e-03 82.90253829956055 3332.0105605125427
42 3.466883e+00 2.747769e-01 6.661342e-02 3.192106e+00 1.000000e-03 81.95963907241821 3414.0015828609467
43 6.465081e+00 3.490111e+00 1.248678e-01 2.974969e+00 1.000000e-03 81.80391812324524 3495.833986759186
44 1.308639e+01 2.054733e+00 1.024935e-01 1.103166e+01 1.000000e-03 82.17815852165222 3578.046310901642
45 4.233933e+00 2.708437e-01 6.164868e-02 3.963089e+00 1.000000e-03 82.9349992275238 3661.010426044464
46 1.298887e+01 4.092976e+00 1.530414e-01 8.895892e+00 1.000000e-03 81.62655758857727 3742.667459964752
47 2.119467e+01 5.774862e+00 2.289832e-01 1.541981e+01 1.000000e-03 82.56087851524353 3825.263648748398
48 3.444920e+01 2.520631e+01 7.192256e-01 9.242888e+00 1.000000e-03 82.58243465423584 3907.872664451599
