epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 4.215065e+00 4.093061e+00 1.237580e-01 1.220041e-01 1.000000e-03 81.49396967887878 81.50759720802307
2 2.568721e-01 2.278533e-01 4.725061e-02 2.901884e-02 1.000000e-03 80.36357569694519 162.26788902282715
3 1.403094e-01 1.179314e-01 4.844758e-02 2.237791e-02 1.000000e-03 80.10276508331299 242.41044759750366
4 6.175892e-02 4.068503e-02 5.119400e-02 2.107389e-02 1.000000e-03 80.42485761642456 322.8728766441345
5 4.040616e-02 2.009292e-02 5.299443e-02 2.031324e-02 1.000000e-03 80.25184321403503 403.1566472053528
6 3.723006e-02 1.736193e-02 5.376080e-02 1.986812e-02 1.000000e-03 80.57980751991272 483.77387499809265
7 3.557293e-02 1.598808e-02 5.438776e-02 1.958485e-02 1.000000e-03 80.09926176071167 563.9136650562286
8 3.450638e-02 1.514644e-02 5.511279e-02 1.935994e-02 1.000000e-03 80.1340537071228 644.0810782909393
9 3.385343e-02 1.468342e-02 5.568688e-02 1.917001e-02 1.000000e-03 80.3988664150238 724.5144643783569
10 3.329381e-02 1.428666e-02 5.587691e-02 1.900715e-02 1.000000e-03 80.58506059646606 805.1403520107269
11 3.292417e-02 1.406075e-02 5.655423e-02 1.886343e-02 1.000000e-03 80.74936532974243 885.938346862793
12 3.251788e-02 1.376391e-02 5.677255e-02 1.875397e-02 1.000000e-03 79.06109881401062 965.0310778617859
13 3.222472e-02 1.356942e-02 5.704182e-02 1.865530e-02 1.000000e-03 79.98434591293335 1045.0578441619873
14 3.188459e-02 1.332159e-02 5.753721e-02 1.856301e-02 1.000000e-03 79.89291763305664 1124.989233970642
15 3.172143e-02 1.323855e-02 5.769097e-02 1.848288e-02 1.000000e-03 79.86369967460632 1204.8921208381653
16 3.153746e-02 1.313789e-02 5.802717e-02 1.839956e-02 1.000000e-03 79.92035555839539 1284.8535373210907
17 3.122421e-02 1.288539e-02 5.826135e-02 1.833882e-02 1.000000e-03 80.72970128059387 1365.638278245926
18 3.117102e-02 1.288894e-02 5.840691e-02 1.828208e-02 1.000000e-03 80.27766299247742 1445.953156709671
19 3.094619e-02 1.273091e-02 5.878693e-02 1.821527e-02 1.000000e-03 80.36355495452881 1526.3592727184296
20 3.077026e-02 1.261437e-02 5.889870e-02 1.815589e-02 1.000000e-03 79.19742488861084 1605.590658903122
21 3.065989e-02 1.255573e-02 5.920637e-02 1.810416e-02 1.000000e-03 80.45985126495361 1686.0857963562012
22 3.049136e-02 1.243413e-02 5.957858e-02 1.805723e-02 1.000000e-03 80.22449707984924 1766.352519273758
23 3.044626e-02 1.243406e-02 5.978577e-02 1.801219e-02 1.000000e-03 79.63498449325562 1846.0248320102692
24 3.022183e-02 1.225973e-02 6.013425e-02 1.796210e-02 1.000000e-03 79.53357887268066 1925.5975954532623
25 3.012470e-02 1.219959e-02 6.035938e-02 1.792511e-02 1.000000e-03 79.97801280021667 2005.618891954422
26 3.001639e-02 1.213135e-02 6.064031e-02 1.788504e-02 1.000000e-03 80.6863796710968 2086.339775085449
27 2.996176e-02 1.212654e-02 6.089252e-02 1.783522e-02 1.000000e-03 80.61283326148987 2166.9920089244843
28 2.971476e-02 1.192661e-02 6.129779e-02 1.778816e-02 1.000000e-03 81.18973207473755 2248.217854976654
29 2.964179e-02 1.188567e-02 6.137332e-02 1.775612e-02 1.000000e-03 81.55652093887329 2329.815947532654
30 2.947657e-02 1.176822e-02 6.164298e-02 1.770835e-02 1.000000e-03 81.21783900260925 2411.07084441185
31 2.941019e-02 1.173831e-02 6.179825e-02 1.767188e-02 1.000000e-03 81.70990753173828 2492.825590133667
32 2.930691e-02 1.166647e-02 6.193482e-02 1.764044e-02 1.000000e-03 83.15447926521301 2576.012867450714
33 2.920550e-02 1.161138e-02 6.220921e-02 1.759412e-02 1.000000e-03 80.67216730117798 2656.720850467682
34 2.908998e-02 1.152627e-02 6.244393e-02 1.756372e-02 1.000000e-03 80.33928751945496 2737.0966663360596
35 2.904696e-02 1.151355e-02 6.259786e-02 1.753340e-02 1.000000e-03 80.12741351127625 2817.264086961746
36 2.896953e-02 1.147000e-02 6.275789e-02 1.749953e-02 1.000000e-03 80.1763288974762 2897.473430633545
37 2.889246e-02 1.142799e-02 6.289530e-02 1.746447e-02 1.000000e-03 79.5409483909607 2977.0541603565216
38 2.883306e-02 1.139304e-02 6.319119e-02 1.744002e-02 1.000000e-03 80.42581462860107 3057.521328687668
39 2.869414e-02 1.128193e-02 6.327948e-02 1.741221e-02 1.000000e-03 79.87199354171753 3137.4333267211914
40 2.861873e-02 1.124071e-02 6.341953e-02 1.737803e-02 1.000000e-03 80.52654767036438 3217.9969351291656
41 2.849907e-02 1.114759e-02 6.353847e-02 1.735148e-02 1.000000e-03 80.0020182132721 3298.0373606681824
42 2.852192e-02 1.119070e-02 6.363935e-02 1.733122e-02 1.000000e-03 81.35501265525818 3379.431412935257
43 2.846576e-02 1.115887e-02 6.380741e-02 1.730688e-02 1.000000e-03 80.4144356250763 3459.8754947185516
44 2.839008e-02 1.111684e-02 6.388455e-02 1.727324e-02 1.000000e-03 80.08942484855652 3539.997939825058
45 2.829081e-02 1.104782e-02 6.408805e-02 1.724298e-02 1.000000e-03 80.96886801719666 3621.0047059059143
46 2.826862e-02 1.105439e-02 6.421247e-02 1.721424e-02 1.000000e-03 83.03203010559082 3704.0814669132233
47 2.827023e-02 1.107272e-02 6.440829e-02 1.719751e-02 1.000000e-03 82.35568046569824 3786.47279047966
48 2.816954e-02 1.099392e-02 6.446609e-02 1.717563e-02 1.000000e-03 82.58631539344788 3869.078907251358
49 2.807505e-02 1.092062e-02 6.463511e-02 1.715443e-02 1.000000e-03 83.99725127220154 3953.1210281848907
50 2.803735e-02 1.090308e-02 6.470766e-02 1.713428e-02 1.000000e-03 83.6571478843689 4036.815002679825
51 2.803407e-02 1.092114e-02 6.490558e-02 1.711294e-02 1.000000e-03 83.64539670944214 4120.494047641754
52 2.795390e-02 1.087034e-02 6.504212e-02 1.708355e-02 1.000000e-03 83.47040677070618 4203.997120857239
53 2.793371e-02 1.087751e-02 6.514768e-02 1.705620e-02 1.000000e-03 83.53328657150269 4287.565953969955
54 2.786186e-02 1.081737e-02 6.535048e-02 1.704448e-02 1.000000e-03 83.5561592578888 4371.155963897705
55 2.784212e-02 1.082109e-02 6.536550e-02 1.702103e-02 1.000000e-03 83.40659642219543 4454.592767715454
56 2.777418e-02 1.077464e-02 6.553075e-02 1.699954e-02 1.000000e-03 83.13815021514893 4537.770978689194
57 2.770626e-02 1.072816e-02 6.567746e-02 1.697810e-02 1.000000e-03 81.56521892547607 4619.377198457718
58 2.763834e-02 1.067040e-02 6.573439e-02 1.696794e-02 1.000000e-03 83.62897062301636 4703.044673681259
59 2.759118e-02 1.064684e-02 6.585469e-02 1.694433e-02 1.000000e-03 83.3613007068634 4786.445133686066
60 2.755611e-02 1.062308e-02 6.602060e-02 1.693303e-02 1.000000e-03 83.45346355438232 4869.929954051971
