epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 3.132720e+01 3.114711e+01 8.668385e-01 1.800876e-01 1.000000e-03 40.78148412704468 40.79608130455017
2 9.378120e-01 8.942570e-01 5.279819e-02 4.355499e-02 1.000000e-03 26.3957200050354 67.30732321739197
3 1.091511e+00 1.056225e+00 5.571059e-02 3.528597e-02 1.000000e-03 24.996191024780273 92.33684420585632
4 4.217189e-01 3.888325e-01 4.885335e-02 3.288640e-02 1.000000e-03 25.49268674850464 117.85725665092468
5 3.048942e-01 2.753012e-01 4.967345e-02 2.959295e-02 1.000000e-03 24.765770196914673 142.65346503257751
6 2.046108e-01 1.771882e-01 4.929333e-02 2.742255e-02 1.000000e-03 24.79802441596985 167.49016189575195
7 1.113935e-01 8.697573e-02 4.800856e-02 2.441780e-02 1.000000e-03 24.74705457687378 192.27226424217224
8 1.188761e-01 9.560198e-02 4.870473e-02 2.327414e-02 1.000000e-03 29.374576330184937 221.68549060821533
9 9.723473e-02 7.504421e-02 4.934270e-02 2.219053e-02 1.000000e-03 30.978271484375 252.68492436408997
10 5.852954e-02 3.701892e-02 5.037590e-02 2.151063e-02 1.000000e-03 26.470791578292847 279.1923441886902
11 6.465122e-02 4.361728e-02 5.127975e-02 2.103394e-02 1.000000e-03 25.7316632270813 304.9622812271118
12 4.901747e-02 2.829825e-02 5.202884e-02 2.071923e-02 1.000000e-03 24.968580722808838 329.95846605300903
13 5.012551e-02 2.959069e-02 5.256300e-02 2.053482e-02 1.000000e-03 24.942555904388428 354.95471024513245
14 4.768744e-02 2.734803e-02 5.296932e-02 2.033942e-02 1.000000e-03 24.89937925338745 379.8825843334198
15 4.390352e-02 2.375031e-02 5.342587e-02 2.015321e-02 1.000000e-03 26.69289255142212 406.608500957489
16 4.131889e-02 2.132897e-02 5.371896e-02 1.998993e-02 1.000000e-03 29.843570470809937 436.4828255176544
17 3.779905e-02 1.794703e-02 5.422694e-02 1.985202e-02 1.000000e-03 29.609248876571655 466.12427401542664
18 3.653850e-02 1.685183e-02 5.441054e-02 1.968667e-02 1.000000e-03 26.249420881271362 492.4131553173065
19 3.676354e-02 1.721188e-02 5.441468e-02 1.955166e-02 1.000000e-03 24.838095664978027 517.2835931777954
20 3.552727e-02 1.610182e-02 5.479482e-02 1.942545e-02 1.000000e-03 24.680950164794922 541.985698223114
21 3.491666e-02 1.559056e-02 5.477451e-02 1.932610e-02 1.000000e-03 25.055697441101074 567.0707042217255
22 3.488101e-02 1.565295e-02 5.519855e-02 1.922806e-02 1.000000e-03 25.7174391746521 592.8283152580261
23 3.465969e-02 1.554141e-02 5.524839e-02 1.911828e-02 1.000000e-03 26.39631223678589 619.2622225284576
24 3.409261e-02 1.509107e-02 5.560996e-02 1.900154e-02 1.000000e-03 30.387052059173584 649.6886761188507
25 3.393196e-02 1.501644e-02 5.602889e-02 1.891551e-02 1.000000e-03 29.440479278564453 679.1596813201904
26 3.363963e-02 1.481857e-02 5.631202e-02 1.882105e-02 1.000000e-03 26.494856595993042 705.6946568489075
27 3.352867e-02 1.476836e-02 5.670287e-02 1.876031e-02 1.000000e-03 25.818970203399658 731.5522832870483
