epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 1.887482e-01 1.548812e-01 9.519167e+00 3.386696e-02 1.000000e-03 18768.619312286377 18768.713035583496
2 1.219262e-02 6.475032e-03 9.498204e+00 5.717585e-03 1.000000e-03 18758.951125383377 37528.125938653946
3 1.183240e-02 6.340138e-03 9.488752e+00 5.492266e-03 1.000000e-03 18777.770327091217 56306.18515133858
4 1.166510e-02 6.266303e-03 9.485497e+00 5.398794e-03 1.000000e-03 18769.968574285507 75076.39158701897
5 1.154546e-02 6.204985e-03 9.483555e+00 5.340472e-03 1.000000e-03 18801.773183584213 93878.47227501869
6 1.144824e-02 6.154330e-03 9.482689e+00 5.293909e-03 1.000000e-03 18781.390700101852 112660.15185070038
7 1.135829e-02 6.101913e-03 9.482605e+00 5.256375e-03 1.000000e-03 18787.71561074257 131448.15586352348
8 1.128092e-02 6.057546e-03 9.482788e+00 5.223376e-03 1.000000e-03 18809.38586497307 150257.9837243557
9 1.120742e-02 6.012395e-03 9.482967e+00 5.195030e-03 1.000000e-03 18778.334177732468 169036.56362819672
10 1.114561e-02 5.973608e-03 9.482955e+00 5.172001e-03 1.000000e-03 18784.747249364853 187821.59445214272
11 1.107844e-02 5.923043e-03 9.482902e+00 5.155394e-03 1.000000e-03 18776.03500533104 206597.86450958252
12 1.103014e-02 5.892837e-03 9.482927e+00 5.137300e-03 1.000000e-03 18794.464470386505 225392.65498757362
13 1.098758e-02 5.865139e-03 9.482720e+00 5.122440e-03 1.000000e-03 18774.680975198746 244167.59627461433
14 1.093310e-02 5.821868e-03 9.482529e+00 5.111231e-03 1.000000e-03 18755.083149671555 262923.2080373764
15 1.088362e-02 5.783604e-03 9.482749e+00 5.100015e-03 1.000000e-03 18779.9544839859 281703.4101061821
16 1.085077e-02 5.762512e-03 9.482778e+00 5.088255e-03 1.000000e-03 18776.288521766663 300480.0081408024
17 1.082000e-02 5.743693e-03 9.482673e+00 5.076308e-03 1.000000e-03 18762.186393499374 319242.46078681946
18 1.077182e-02 5.703476e-03 9.482775e+00 5.068345e-03 1.000000e-03 18763.53416109085 338006.28383493423
19 1.073257e-02 5.673317e-03 9.482856e+00 5.059258e-03 1.000000e-03 18806.693062067032 356813.3140218258
20 1.070007e-02 5.649836e-03 9.482885e+00 5.050234e-03 1.000000e-03 18771.2752931118 375584.8881306648
21 1.066841e-02 5.626254e-03 9.482922e+00 5.042155e-03 1.000000e-03 18785.036779165268 394370.2316184044
22 1.063424e-02 5.600450e-03 9.483138e+00 5.033786e-03 1.000000e-03 18778.518606185913 413149.19193172455
23 1.060249e-02 5.576112e-03 9.483227e+00 5.026374e-03 1.000000e-03 18772.09400177002 431921.59538960457
24 1.058026e-02 5.562119e-03 9.483222e+00 5.018142e-03 1.000000e-03 18802.63966369629 450724.51124477386
25 1.053995e-02 5.527074e-03 9.483377e+00 5.012873e-03 1.000000e-03 18772.854145526886 469497.7109885216
26 1.051462e-02 5.508397e-03 9.483551e+00 5.006222e-03 1.000000e-03 18801.117990255356 488299.2515993118
27 1.048739e-02 5.487812e-03 9.483722e+00 4.999582e-03 1.000000e-03 18798.491621255875 507098.0832901001
28 1.045858e-02 5.464966e-03 9.483750e+00 4.993613e-03 1.000000e-03 18770.84420990944 525869.235389471
29 1.043413e-02 5.446705e-03 9.484080e+00 4.987430e-03 1.000000e-03 18796.404240369797 544666.0778138638
30 1.041834e-02 5.437206e-03 9.484255e+00 4.981135e-03 1.000000e-03 18799.070954322815 563465.4556057453
