epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 2.477191e+00 2.414816e+00 8.174775e+00 6.237506e-02 1.000000e-03 653.0883259773254 653.1004359722137
2 5.214370e-02 4.597621e-02 8.173539e+00 6.167499e-03 1.000000e-03 650.7826220989227 1303.940267086029
3 2.770030e-02 2.247977e-02 8.167848e+00 5.220522e-03 1.000000e-03 641.0329415798187 1945.0184445381165
4 2.559734e-02 2.061498e-02 8.164381e+00 4.982358e-03 1.000000e-03 636.8799502849579 2581.949378013611
5 2.405615e-02 1.922043e-02 8.159143e+00 4.835719e-03 1.000000e-03 636.8218703269958 3218.8234136104584
6 2.353206e-02 1.879136e-02 8.157004e+00 4.740704e-03 1.000000e-03 637.1406753063202 3856.0153901576996
7 2.297168e-02 1.829694e-02 8.155496e+00 4.674738e-03 1.000000e-03 638.1539356708527 4494.219068527222
8 2.241506e-02 1.779480e-02 8.154556e+00 4.620255e-03 1.000000e-03 636.9314289093018 5131.201146364212
9 2.189508e-02 1.731367e-02 8.153446e+00 4.581412e-03 1.000000e-03 638.410651922226 5769.662479877472
10 2.136748e-02 1.681330e-02 8.152488e+00 4.554175e-03 1.000000e-03 639.5375819206238 6409.250150680542
11 2.087865e-02 1.634662e-02 8.152535e+00 4.532031e-03 1.000000e-03 640.4427719116211 7049.755435228348
12 2.032430e-02 1.580880e-02 8.153271e+00 4.515496e-03 1.000000e-03 638.3909730911255 7688.197314500809
13 1.984914e-02 1.534926e-02 8.152896e+00 4.499880e-03 1.000000e-03 638.327586889267 8326.575714111328
14 1.945900e-02 1.497297e-02 8.154368e+00 4.486028e-03 1.000000e-03 635.6662056446075 8962.287904500961
15 1.905053e-02 1.457467e-02 8.154161e+00 4.475864e-03 1.000000e-03 639.7293047904968 9602.060222387314
16 1.856200e-02 1.409455e-02 8.155911e+00 4.467455e-03 1.000000e-03 636.8246846199036 10238.935398817062
17 1.817403e-02 1.371498e-02 8.157626e+00 4.459050e-03 1.000000e-03 636.1377949714661 10875.12233376503
18 1.759433e-02 1.313877e-02 8.159850e+00 4.455556e-03 1.000000e-03 638.2304384708405 11513.40381026268
19 3.529529e-02 3.083227e-02 8.161489e+00 4.463020e-03 1.000000e-03 639.2771542072296 12152.731016159058
20 1.669070e-02 1.224921e-02 8.162884e+00 4.441489e-03 1.000000e-03 650.6229622364044 12803.395350456238
21 1.630869e-02 1.186075e-02 8.162915e+00 4.447942e-03 1.000000e-03 652.3132889270782 13455.786684036255
22 1.575323e-02 1.131570e-02 8.163953e+00 4.437527e-03 1.000000e-03 650.0132672786713 14105.851069450378
23 1.532618e-02 1.089299e-02 8.165176e+00 4.433185e-03 1.000000e-03 641.4000504016876 14747.301293373108
24 1.477609e-02 1.034127e-02 8.165631e+00 4.434820e-03 1.000000e-03 651.5083034038544 15398.855868816376
25 1.535753e-02 1.037260e-02 8.166187e+00 4.984924e-03 1.000000e-03 652.5799260139465 16051.482587099075
26 1.411909e-02 9.649897e-03 8.166330e+00 4.469195e-03 1.000000e-03 647.3708691596985 16698.8946454525
27 1.346545e-02 9.032147e-03 8.166948e+00 4.433307e-03 1.000000e-03 643.1274604797363 17342.14031767845
28 9.160422e-02 5.115785e-02 8.166921e+00 4.044637e-02 1.000000e-03 648.5328562259674 17990.7173204422
29 1.708548e-02 1.175556e-02 8.165551e+00 5.329921e-03 1.000000e-03 650.3438239097595 18641.10078549385
30 1.476275e-02 9.929225e-03 8.165609e+00 4.833525e-03 1.000000e-03 647.6376447677612 19288.77788209915
31 1.410215e-02 9.602186e-03 8.166554e+00 4.499969e-03 1.000000e-03 642.2976775169373 19931.10713338852
32 1.310951e-02 8.656342e-03 8.167883e+00 4.453166e-03 1.000000e-03 639.5815119743347 20570.72141122818
