epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 4.008287e+00 3.910206e+00 0.000000e+00 9.808154e-02 8.145282e-04 192.39133024215698 192.41023111343384
2 5.057067e+00 5.015342e+00 0.000000e+00 4.172493e-02 8.145282e-04 140.93772745132446 333.5449676513672
3 2.403334e+00 2.374385e+00 0.000000e+00 2.894975e-02 8.145282e-04 140.65017414093018 474.23424792289734
4 1.561504e+00 1.538786e+00 0.000000e+00 2.271792e-02 8.145282e-04 137.60112595558167 611.8848652839661
5 8.586457e-01 8.431878e-01 0.000000e+00 1.545791e-02 7.738070e-04 143.56267070770264 755.4995710849762
6 2.511972e+00 2.490721e+00 0.000000e+00 2.125098e-02 7.738070e-04 140.19449067115784 895.7401854991913
7 8.941748e-01 8.796154e-01 0.000000e+00 1.455942e-02 7.738070e-04 141.72103714942932 1037.5025243759155
8 1.871302e+00 1.853880e+00 0.000000e+00 1.742212e-02 7.738070e-04 141.80428504943848 1179.3479397296906
9 1.307978e+00 1.293421e+00 0.000000e+00 1.455709e-02 7.738070e-04 140.20827651023865 1319.594432592392
10 8.816900e-01 8.710117e-01 0.000000e+00 1.067834e-02 7.351217e-04 139.6000509262085 1459.2345752716064
11 1.278953e+00 1.264646e+00 0.000000e+00 1.430726e-02 7.351217e-04 140.7987756729126 1600.0719838142395
12 8.514675e-01 8.421452e-01 0.000000e+00 9.322307e-03 7.351217e-04 139.28208589553833 1739.3974719047546
13 8.010871e-01 7.857110e-01 0.000000e+00 1.537609e-02 7.351217e-04 140.7138295173645 1880.2344040870667
14 1.048970e+00 1.037022e+00 0.000000e+00 1.194867e-02 7.351217e-04 138.17590379714966 2018.458741903305
15 1.003527e+00 9.953732e-01 0.000000e+00 8.154079e-03 6.983703e-04 140.7041449546814 2159.2050511837006
16 9.224713e-01 9.076657e-01 0.000000e+00 1.480565e-02 6.983703e-04 141.93549299240112 2301.183046102524
17 6.988407e-01 6.902427e-01 0.000000e+00 8.597965e-03 6.983703e-04 144.43330073356628 2445.6546506881714
18 1.388649e+00 1.374825e+00 0.000000e+00 1.382425e-02 6.983703e-04 140.5576207637787 2586.2674474716187
19 7.766771e-01 7.686841e-01 0.000000e+00 7.993002e-03 6.983703e-04 142.37563490867615 2728.683366060257
20 8.409167e-01 8.295568e-01 0.000000e+00 1.135986e-02 6.634562e-04 141.68267917633057 2870.4092259407043
21 8.391098e-01 8.316847e-01 0.000000e+00 7.425136e-03 6.634562e-04 140.25961184501648 3010.7063784599304
22 9.782778e-01 9.677213e-01 0.000000e+00 1.055655e-02 6.634562e-04 140.40561842918396 3151.1481754779816
23 7.783383e-01 7.710966e-01 0.000000e+00 7.241672e-03 6.634562e-04 141.1727705001831 3292.360184907913
24 8.332920e-01 8.208507e-01 0.000000e+00 1.244127e-02 6.634562e-04 141.27682828903198 3433.6770148277283
25 7.422542e-01 7.341058e-01 0.000000e+00 8.148387e-03 6.302877e-04 142.62636399269104 3576.3431375026703
26 6.764179e-01 6.693469e-01 0.000000e+00 7.070903e-03 6.302877e-04 141.50262093544006 3717.8821811676025
27 8.092996e-01 7.991974e-01 0.000000e+00 1.010220e-02 6.302877e-04 140.90147995948792 3858.8911747932434
28 7.186733e-01 7.119500e-01 0.000000e+00 6.723286e-03 6.302877e-04 142.8946316242218 4001.8294694423676
29 9.942714e-01 9.844650e-01 0.000000e+00 9.806433e-03 6.302877e-04 141.33617854118347 4143.205808162689
30 7.170292e-01 7.105214e-01 0.000000e+00 6.507736e-03 5.987773e-04 148.37892270088196 4291.618591070175
31 6.898353e-01 6.826531e-01 0.000000e+00 7.182261e-03 5.987773e-04 156.64959812164307 4448.310358762741
32 6.734526e-01 6.667270e-01 0.000000e+00 6.725562e-03 5.987773e-04 142.35386681556702 4590.704230308533
33 7.659125e-01 7.522705e-01 0.000000e+00 1.364197e-02 5.987773e-04 138.49639225006104 4729.250447511673
34 6.219803e-01 6.148363e-01 0.000000e+00 7.143928e-03 5.987773e-04 140.95980429649353 4870.249805688858
35 6.153039e-01 6.066596e-01 0.000000e+00 8.644347e-03 5.688423e-04 140.7114028930664 5011.011100530624
36 6.476984e-01 6.411367e-01 0.000000e+00 6.561713e-03 5.688423e-04 140.2085521221161 5151.272367954254
37 5.319088e-01 5.236450e-01 0.000000e+00 8.263837e-03 5.688423e-04 143.25190997123718 5294.566524028778
38 6.673768e-01 6.611994e-01 0.000000e+00 6.177352e-03 5.688423e-04 140.50843167304993 5435.124666452408
39 5.967094e-01 5.897588e-01 0.000000e+00 6.950605e-03 5.688423e-04 139.58267998695374 5574.746647119522
40 6.072734e-01 6.008192e-01 0.000000e+00 6.454284e-03 5.404038e-04 142.86347365379333 5717.64607167244
41 5.713095e-01 5.650927e-01 0.000000e+00 6.216814e-03 5.404038e-04 139.98014402389526 5857.656179666519
42 5.578270e-01 5.506747e-01 0.000000e+00 7.152314e-03 5.404038e-04 139.18677020072937 5996.885998249054
43 5.763920e-01 5.703000e-01 0.000000e+00 6.092043e-03 5.404038e-04 142.7686939239502 6139.694072723389
44 5.412446e-01 5.343869e-01 0.000000e+00 6.857727e-03 5.404038e-04 139.6436505317688 6279.377095937729
45 5.824425e-01 5.766571e-01 0.000000e+00 5.785404e-03 5.133871e-04 139.03951406478882 6418.458635807037
46 5.429190e-01 5.365717e-01 0.000000e+00 6.347358e-03 5.133871e-04 144.217059135437 6562.715864181519
47 5.549503e-01 5.491908e-01 0.000000e+00 5.759479e-03 5.133871e-04 140.86463117599487 6703.61791062355
48 5.068952e-01 4.996211e-01 0.000000e+00 7.274070e-03 5.133871e-04 139.98529028892517 6843.644834756851
49 5.596169e-01 5.540575e-01 0.000000e+00 5.559352e-03 5.133871e-04 145.0357072353363 6988.832201957703
50 4.572702e-01 4.495762e-01 0.000000e+00 7.694002e-03 4.877210e-04 140.1827154159546 7129.0557560920715
51 5.343135e-01 5.288834e-01 0.000000e+00 5.430102e-03 4.877210e-04 139.32659339904785 7268.432821750641
52 5.236573e-01 5.180358e-01 0.000000e+00 5.621476e-03 4.877210e-04 142.55201363563538 7411.027681589127
53 4.925630e-01 4.862048e-01 0.000000e+00 6.358208e-03 4.877210e-04 139.89770936965942 7550.960857152939
54 5.256240e-01 5.201460e-01 0.000000e+00 5.478011e-03 4.877210e-04 139.0149221420288 7690.01686167717
55 4.523847e-01 4.460075e-01 0.000000e+00 6.377124e-03 4.633381e-04 144.31059670448303 7834.361274242401
56 5.209696e-01 5.155169e-01 0.000000e+00 5.452685e-03 4.633381e-04 143.151762008667 7977.565504312515
57 4.777689e-01 4.715700e-01 0.000000e+00 6.198916e-03 4.633381e-04 141.49982023239136 8119.107798576355
58 5.141981e-01 5.086387e-01 0.000000e+00 5.559449e-03 4.633381e-04 142.2204020023346 8261.371224403381
59 5.522572e-01 5.462887e-01 0.000000e+00 5.968507e-03 4.633381e-04 138.15133237838745 8399.560518980026
60 5.187558e-01 5.133367e-01 0.000000e+00 5.419083e-03 4.401742e-04 137.8937122821808 8537.494582176208
61 4.579488e-01 4.524133e-01 0.000000e+00 5.535514e-03 4.401742e-04 141.91027736663818 8679.443219184875
62 4.517563e-01 4.453357e-01 0.000000e+00 6.420606e-03 4.401742e-04 140.86435747146606 8820.345146656036
63 5.488534e-01 5.435644e-01 0.000000e+00 5.288977e-03 4.401742e-04 138.80387568473816 8959.228507518768
64 4.403361e-01 4.347281e-01 0.000000e+00 5.607956e-03 4.401742e-04 141.8995349407196 9101.163313388824
65 3.915466e-01 3.856391e-01 0.000000e+00 5.907491e-03 4.181683e-04 141.340656042099 9242.553083658218
66 5.547031e-01 5.494296e-01 0.000000e+00 5.273505e-03 4.181683e-04 140.78734254837036 9383.389698982239
67 5.600037e-01 5.541432e-01 0.000000e+00 5.860472e-03 4.181683e-04 139.47441124916077 9522.896534204483
68 5.267457e-01 5.214405e-01 0.000000e+00 5.305145e-03 4.181683e-04 139.50429439544678 9662.43907380104
69 3.777884e-01 3.716782e-01 0.000000e+00 6.110206e-03 4.181683e-04 137.23037219047546 9799.699519395828
70 5.576976e-01 5.524600e-01 0.000000e+00 5.237607e-03 3.972626e-04 138.67673635482788 9938.424435377121
71 5.558602e-01 5.505210e-01 0.000000e+00 5.339262e-03 3.972626e-04 140.15292167663574 10078.614275455475
