epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 1.500523e+01 1.481905e+01 9.255502e+00 1.861746e-01 1.000000e-03 221.1056981086731 221.120849609375
2 2.009289e-01 1.833694e-01 9.101234e+00 1.755947e-02 1.000000e-03 219.12988328933716 440.4307653903961
3 1.637249e-01 1.521237e-01 9.279739e+00 1.160116e-02 1.000000e-03 218.97610020637512 659.4537489414215
4 6.165620e-02 5.297184e-02 9.252536e+00 8.684365e-03 1.000000e-03 217.69658041000366 877.2014901638031
5 4.393726e-02 3.646313e-02 9.229034e+00 7.474137e-03 1.000000e-03 219.17832016944885 1096.42382478714
6 4.407916e-02 3.728116e-02 9.201697e+00 6.797997e-03 1.000000e-03 218.18603253364563 1314.664098739624
7 3.177135e-02 2.558551e-02 9.177904e+00 6.185836e-03 1.000000e-03 217.50829219818115 1532.2134373188019
8 2.771100e-02 2.195145e-02 9.162044e+00 5.759552e-03 1.000000e-03 218.09763479232788 1750.363820552826
9 2.665851e-02 2.111910e-02 9.150375e+00 5.539402e-03 1.000000e-03 217.84634280204773 1968.2548687458038
10 2.558676e-02 2.021907e-02 9.142322e+00 5.367684e-03 1.000000e-03 217.99142932891846 2186.3009736537933
11 2.496122e-02 1.975720e-02 9.136472e+00 5.204024e-03 1.000000e-03 218.6650791168213 2405.0123274326324
12 2.431096e-02 1.923923e-02 9.130163e+00 5.071728e-03 1.000000e-03 218.61372637748718 2623.672143936157
13 2.432716e-02 1.933914e-02 9.124625e+00 4.988024e-03 1.000000e-03 218.68351984024048 2842.4023873806
14 2.413951e-02 1.921557e-02 9.120231e+00 4.923939e-03 1.000000e-03 218.24223685264587 3060.687318086624
15 2.381729e-02 1.894111e-02 9.118176e+00 4.876182e-03 1.000000e-03 218.28161549568176 3279.0229303836823
16 2.378680e-02 1.895320e-02 9.117504e+00 4.833608e-03 1.000000e-03 219.0828115940094 3498.1503789424896
17 2.341109e-02 1.861093e-02 9.116407e+00 4.800154e-03 1.000000e-03 218.6984269618988 3716.9022703170776
18 2.339827e-02 1.862613e-02 9.116926e+00 4.772147e-03 1.000000e-03 218.67025780677795 3935.622629404068
19 2.324246e-02 1.849823e-02 9.117228e+00 4.744225e-03 1.000000e-03 221.25539088249207 4156.924748420715
20 2.296962e-02 1.824863e-02 9.116867e+00 4.720986e-03 1.000000e-03 220.4286379814148 4377.406912326813
21 2.283336e-02 1.813280e-02 9.117384e+00 4.700560e-03 1.000000e-03 223.1540563106537 4600.61252617836
22 2.256845e-02 1.788839e-02 9.117424e+00 4.680062e-03 1.000000e-03 223.28294205665588 4823.948130130768
23 2.236636e-02 1.770161e-02 9.117419e+00 4.664748e-03 1.000000e-03 223.85857105255127 5047.851286888123
24 2.218532e-02 1.753753e-02 9.117095e+00 4.647793e-03 1.000000e-03 222.83544850349426 5270.740553855896
25 2.176060e-02 1.712433e-02 9.116892e+00 4.636276e-03 1.000000e-03 223.20176577568054 5493.99379324913
26 2.146754e-02 1.684364e-02 9.117221e+00 4.623899e-03 1.000000e-03 223.6988639831543 5717.742227077484
27 2.118321e-02 1.656963e-02 9.117852e+00 4.613584e-03 1.000000e-03 223.90984559059143 5941.704517841339
28 2.097621e-02 1.637156e-02 9.117178e+00 4.604649e-03 1.000000e-03 223.37802410125732 6165.136496782303
29 2.048695e-02 1.588905e-02 9.117867e+00 4.597894e-03 1.000000e-03 221.90354418754578 6387.094848155975
30 1.992414e-02 1.533099e-02 9.117632e+00 4.593144e-03 1.000000e-03 222.90179657936096 6610.048534154892
31 1.965544e-02 1.506910e-02 9.118028e+00 4.586342e-03 1.000000e-03 224.19372081756592 6834.293205022812
32 1.920259e-02 1.462040e-02 9.118440e+00 4.582189e-03 1.000000e-03 223.82765436172485 7058.172536849976
33 1.865548e-02 1.407439e-02 9.118218e+00 4.581096e-03 1.000000e-03 222.82668161392212 7281.052895069122
34 1.834471e-02 1.376623e-02 9.118825e+00 4.578478e-03 1.000000e-03 224.5948941707611 7505.69239282608
35 1.772358e-02 1.314235e-02 9.118902e+00 4.581229e-03 1.000000e-03 223.77614164352417 7729.520657777786
36 1.734645e-02 1.276705e-02 9.118934e+00 4.579400e-03 1.000000e-03 223.91164660453796 7953.475962638855
37 1.671831e-02 1.213354e-02 9.118927e+00 4.584764e-03 1.000000e-03 223.57723546028137 8177.105261564255
38 1.620705e-02 1.161670e-02 9.118349e+00 4.590350e-03 1.000000e-03 224.2723240852356 8401.43074631691
39 1.576154e-02 1.116694e-02 9.118667e+00 4.594600e-03 1.000000e-03 223.8956000804901 8625.377240657806
40 1.579578e-02 1.120511e-02 9.118310e+00 4.590668e-03 1.000000e-03 222.6834099292755 8848.112378120422
41 1.495333e-02 1.034858e-02 9.118066e+00 4.604743e-03 1.000000e-03 223.45218014717102 9071.602926969528
42 1.478219e-02 1.017669e-02 9.117550e+00 4.605504e-03 1.000000e-03 222.52707266807556 9294.18173456192
43 1.449412e-02 9.885046e-03 9.117076e+00 4.609073e-03 1.000000e-03 223.01884770393372 9517.252060174942
44 1.409401e-02 9.476646e-03 9.117655e+00 4.617364e-03 1.000000e-03 223.0660057067871 9740.367869138718
45 1.374273e-02 9.117949e-03 9.117339e+00 4.624781e-03 1.000000e-03 223.23281860351562 9963.653346538544
46 1.374794e-02 9.128934e-03 9.116948e+00 4.619008e-03 1.000000e-03 224.43152856826782 10188.128431797028
47 1.337911e-02 8.751159e-03 9.116926e+00 4.627952e-03 1.000000e-03 223.80898642539978 10411.97543478012
48 1.321393e-02 8.584686e-03 9.116743e+00 4.629244e-03 1.000000e-03 223.13358068466187 10635.152083158493
49 1.307854e-02 8.447405e-03 9.116595e+00 4.631138e-03 1.000000e-03 224.07393598556519 10859.275637626648
50 1.292491e-02 8.291087e-03 9.116365e+00 4.633822e-03 1.000000e-03 222.7266674041748 11082.056310653687
51 1.275130e-02 8.113948e-03 9.116323e+00 4.637354e-03 1.000000e-03 222.71606397628784 11304.824311733246
52 1.261656e-02 7.979430e-03 9.116404e+00 4.637131e-03 1.000000e-03 223.64842629432678 11528.516125917435
53 1.254421e-02 7.907985e-03 9.116173e+00 4.636223e-03 1.000000e-03 223.577543258667 11752.143003225327
54 1.242116e-02 7.782953e-03 9.116170e+00 4.638206e-03 1.000000e-03 223.87969779968262 11976.076060533524
55 1.236163e-02 7.724554e-03 9.115912e+00 4.637075e-03 1.000000e-03 222.0055205821991 12198.132577419281
56 1.218620e-02 7.544401e-03 9.115876e+00 4.641797e-03 1.000000e-03 223.8713629245758 12422.053460359573
57 1.211654e-02 7.475814e-03 9.115985e+00 4.640722e-03 1.000000e-03 223.5577850341797 12645.664606332779
58 1.206120e-02 7.423695e-03 9.116214e+00 4.637504e-03 1.000000e-03 224.474867105484 12870.196488380432
59 1.194909e-02 7.309899e-03 9.115904e+00 4.639191e-03 1.000000e-03 223.9825758934021 13094.228885412216
60 1.192203e-02 7.283919e-03 9.115987e+00 4.638114e-03 1.000000e-03 224.0391137599945 13318.318890094757
61 1.187241e-02 7.238381e-03 9.115956e+00 4.634027e-03 1.000000e-03 223.29330015182495 13541.66335940361
62 1.181229e-02 7.178414e-03 9.115946e+00 4.633873e-03 1.000000e-03 223.05441093444824 13764.76010799408
63 1.170684e-02 7.070923e-03 9.115891e+00 4.635913e-03 1.000000e-03 221.57041215896606 13986.374813318253
64 1.167650e-02 7.043015e-03 9.115822e+00 4.633488e-03 1.000000e-03 218.63914442062378 14205.064585447311
65 1.161355e-02 6.980841e-03 9.115797e+00 4.632707e-03 1.000000e-03 221.1017200946808 14426.212363481522
66 1.155299e-02 6.920655e-03 9.115830e+00 4.632334e-03 1.000000e-03 220.62043499946594 14646.884762048721
67 1.156473e-02 6.937659e-03 9.115704e+00 4.627076e-03 1.000000e-03 223.94559836387634 14870.88190317154
68 1.147340e-02 6.844394e-03 9.115744e+00 4.629005e-03 1.000000e-03 221.45395708084106 15092.376594305038
69 1.142904e-02 6.801555e-03 9.115597e+00 4.627489e-03 1.000000e-03 217.51461791992188 15309.941925525665
70 1.138302e-02 6.756230e-03 9.115522e+00 4.626793e-03 1.000000e-03 221.5209562778473 15531.516604661942
71 1.134402e-02 6.718803e-03 9.115725e+00 4.625219e-03 1.000000e-03 222.5193567276001 15754.081668376923
72 1.131497e-02 6.690081e-03 9.115886e+00 4.624890e-03 1.000000e-03 223.98275685310364 15978.1178855896
73 1.128773e-02 6.665534e-03 9.115775e+00 4.622193e-03 1.000000e-03 222.74471426010132 16200.913753509521
74 1.126917e-02 6.648179e-03 9.115595e+00 4.620987e-03 1.000000e-03 223.9268136024475 16424.889537096024
75 1.121707e-02 6.596308e-03 9.115672e+00 4.620757e-03 1.000000e-03 223.0310513973236 16647.971699476242
76 1.120232e-02 6.584486e-03 9.115518e+00 4.617839e-03 1.000000e-03 222.19115614891052 16870.206564188004
77 1.115593e-02 6.536877e-03 9.115489e+00 4.619056e-03 1.000000e-03 223.7025465965271 17093.958567857742
78 1.110805e-02 6.491397e-03 9.115394e+00 4.616654e-03 1.000000e-03 223.04898500442505 17317.05797290802
79 1.109689e-02 6.481764e-03 9.115354e+00 4.615126e-03 1.000000e-03 224.22317171096802 17541.327505111694
80 1.104633e-02 6.431133e-03 9.115265e+00 4.615194e-03 1.000000e-03 223.63202738761902 17765.019240617752
81 1.101335e-02 6.399329e-03 9.115395e+00 4.614017e-03 1.000000e-03 224.5342435836792 17989.604367733
82 1.099121e-02 6.377954e-03 9.115279e+00 4.613253e-03 1.000000e-03 223.7129499912262 18213.368679523468
83 1.095582e-02 6.343468e-03 9.115279e+00 4.612349e-03 1.000000e-03 223.28223371505737 18436.70125102997
84 1.095119e-02 6.340270e-03 9.115104e+00 4.610916e-03 1.000000e-03 222.73043656349182 18659.48514032364
85 1.092966e-02 6.321564e-03 9.115131e+00 4.608095e-03 1.000000e-03 223.32504653930664 18882.860654830933
86 1.089762e-02 6.289462e-03 9.115165e+00 4.608161e-03 1.000000e-03 223.07427597045898 19105.98472571373
87 1.088874e-02 6.283167e-03 9.115251e+00 4.605575e-03 1.000000e-03 223.96877336502075 19330.001936674118
88 1.085681e-02 6.251117e-03 9.115245e+00 4.605692e-03 1.000000e-03 223.298171043396 19553.349829912186
89 1.083256e-02 6.229238e-03 9.115053e+00 4.603320e-03 1.000000e-03 223.95100927352905 19777.353637456894
90 1.081290e-02 6.211133e-03 9.115059e+00 4.601764e-03 1.000000e-03 224.03689694404602 20001.439242362976
91 1.079971e-02 6.200285e-03 9.115020e+00 4.599425e-03 1.000000e-03 222.81585693359375 20224.29893732071
92 1.077558e-02 6.176972e-03 9.115163e+00 4.598605e-03 1.000000e-03 222.4415955543518 20446.79187631607
93 1.073931e-02 6.140646e-03 9.114986e+00 4.598663e-03 1.000000e-03 223.59812355041504 20670.43958091736
94 1.074586e-02 6.150240e-03 9.114981e+00 4.595616e-03 1.000000e-03 223.3022220134735 20893.79022336006
95 1.071908e-02 6.124332e-03 9.115010e+00 4.594752e-03 1.000000e-03 223.77443718910217 21117.604639053345
96 1.069462e-02 6.100510e-03 9.114842e+00 4.594111e-03 1.000000e-03 223.50439739227295 21341.1616666317
97 1.066049e-02 6.066187e-03 9.114855e+00 4.594306e-03 1.000000e-03 223.39487767219543 21564.607815265656
98 1.066121e-02 6.069228e-03 9.114826e+00 4.591985e-03 1.000000e-03 223.39511489868164 21788.05467915535
99 1.063822e-02 6.045565e-03 9.114774e+00 4.592651e-03 1.000000e-03 222.39314126968384 22010.485554218292
100 1.062940e-02 6.040834e-03 9.114807e+00 4.588561e-03 1.000000e-03 223.6179118156433 22234.153972148895
101 1.060073e-02 6.011761e-03 9.114756e+00 4.588973e-03 1.000000e-03 223.30215787887573 22457.507452249527
102 1.060444e-02 6.017520e-03 9.114686e+00 4.586923e-03 1.000000e-03 223.7606852054596 22681.310324668884
103 1.057199e-02 5.984924e-03 9.114539e+00 4.587069e-03 1.000000e-03 222.26366329193115 22903.613523483276
104 1.056945e-02 5.985297e-03 9.114516e+00 4.584154e-03 1.000000e-03 222.8874716758728 23126.553318977356
105 1.053316e-02 5.947493e-03 9.114543e+00 4.585671e-03 1.000000e-03 224.10423612594604 23350.711347341537
106 1.053432e-02 5.952264e-03 9.114475e+00 4.582057e-03 1.000000e-03 224.00777792930603 23574.768494844437
107 1.050461e-02 5.922222e-03 9.114368e+00 4.582384e-03 1.000000e-03 224.35259366035461 23799.152081489563
108 1.050216e-02 5.922047e-03 9.114462e+00 4.580110e-03 1.000000e-03 223.52583003044128 24022.735433340073
109 1.047481e-02 5.895742e-03 9.114380e+00 4.579065e-03 1.000000e-03 223.9098515510559 24246.69770026207
110 1.046469e-02 5.886460e-03 9.114375e+00 4.578227e-03 1.000000e-03 222.81386995315552 24469.562596797943
111 1.045348e-02 5.876250e-03 9.114279e+00 4.577228e-03 1.000000e-03 223.9457459449768 24693.56208539009
112 1.044006e-02 5.864597e-03 9.114187e+00 4.575466e-03 1.000000e-03 224.19399333000183 24917.805807113647
113 1.042840e-02 5.853367e-03 9.114098e+00 4.575034e-03 1.000000e-03 223.0433804988861 25140.893480539322
114 1.041203e-02 5.837623e-03 9.113927e+00 4.574408e-03 1.000000e-03 222.4540250301361 25363.399357318878
115 1.037836e-02 5.803287e-03 9.113884e+00 4.575078e-03 1.000000e-03 223.7099370956421 25587.158970832825
116 1.037716e-02 5.804843e-03 9.113833e+00 4.572315e-03 1.000000e-03 222.58455753326416 25809.795501232147
117 1.036225e-02 5.791320e-03 9.113874e+00 4.570932e-03 1.000000e-03 222.47432351112366 26032.320784330368
118 1.033794e-02 5.767689e-03 9.113711e+00 4.570248e-03 1.000000e-03 222.8668088912964 26255.24262237549
119 1.034064e-02 5.771033e-03 9.113607e+00 4.569603e-03 1.000000e-03 224.36458015441895 26479.660245656967
120 1.032514e-02 5.756446e-03 9.113541e+00 4.568692e-03 1.000000e-03 223.87349104881287 26703.578659296036
