epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 7.525385e+00 7.295828e+00 1.230594e-01 2.295571e-01 1.000000e-03 266.53687953948975 266.5536000728607
2 1.688888e-01 9.933509e-02 5.782203e-02 6.955374e-02 1.000000e-03 269.5144226551056 536.4774577617645
3 1.264415e-01 6.418048e-02 5.545040e-02 6.226104e-02 1.000000e-03 270.07931208610535 806.604968547821
4 1.159316e-01 5.652636e-02 5.421270e-02 5.940520e-02 1.000000e-03 270.542094707489 1077.1955797672272
5 1.105404e-01 5.273565e-02 5.366284e-02 5.780477e-02 1.000000e-03 270.80084109306335 1348.0429229736328
6 1.074930e-01 5.067577e-02 5.329452e-02 5.681718e-02 1.000000e-03 271.0247585773468 1619.116759777069
7 1.055996e-01 4.948697e-02 5.253358e-02 5.611267e-02 1.000000e-03 270.14966893196106 1889.311561346054
8 1.038673e-01 4.829641e-02 5.228966e-02 5.557090e-02 1.000000e-03 271.9132089614868 2161.2692863941193
9 1.028047e-01 4.764263e-02 5.198615e-02 5.516202e-02 1.000000e-03 268.42974877357483 2429.7464039325714
10 1.017033e-01 4.690250e-02 5.167799e-02 5.480080e-02 1.000000e-03 268.9075093269348 2698.7037994861603
11 1.013123e-01 4.646761e-02 5.156518e-02 5.484465e-02 1.000000e-03 270.5191798210144 2969.273367881775
12 9.995692e-02 4.574009e-02 5.153178e-02 5.421682e-02 1.000000e-03 271.17452001571655 3240.4881508350372
13 9.952264e-02 4.557234e-02 5.132604e-02 5.395031e-02 1.000000e-03 264.23291015625 3504.762327671051
14 9.890278e-02 4.513621e-02 5.134369e-02 5.376657e-02 1.000000e-03 264.2948536872864 3769.098606109619
15 9.824803e-02 4.470794e-02 5.139432e-02 5.354009e-02 1.000000e-03 264.82107186317444 4033.961535215378
16 9.773644e-02 4.444301e-02 5.146651e-02 5.329343e-02 1.000000e-03 263.82339787483215 4297.830084323883
17 9.733458e-02 4.422732e-02 5.165116e-02 5.310726e-02 1.000000e-03 268.40918374061584 4566.285170316696
18 9.678228e-02 4.383583e-02 5.174417e-02 5.294645e-02 1.000000e-03 271.4504568576813 4837.783085107803
19 9.641442e-02 4.362697e-02 5.177388e-02 5.278745e-02 1.000000e-03 269.7221477031708 5107.554931879044
20 9.597273e-02 4.332242e-02 5.186621e-02 5.265031e-02 1.000000e-03 270.5436062812805 5378.148691654205
21 9.571149e-02 4.316267e-02 5.188281e-02 5.254882e-02 1.000000e-03 270.5727138519287 5648.76531457901
22 9.538884e-02 4.294757e-02 5.188425e-02 5.244127e-02 1.000000e-03 270.76850962638855 5919.581500053406
23 9.515515e-02 4.277564e-02 5.190951e-02 5.237950e-02 1.000000e-03 270.22839188575745 6189.858958005905
24 9.499309e-02 4.269183e-02 5.189563e-02 5.230126e-02 1.000000e-03 268.74760270118713 6458.6463215351105
25 9.486111e-02 4.264283e-02 5.188265e-02 5.221828e-02 1.000000e-03 264.4941027164459 6723.185713291168
26 9.471387e-02 4.253856e-02 5.185003e-02 5.217531e-02 1.000000e-03 263.9948365688324 6987.229232549667
27 9.449641e-02 4.238400e-02 5.179819e-02 5.211241e-02 1.000000e-03 266.0397710800171 7253.316490888596
28 9.433324e-02 4.227819e-02 5.170243e-02 5.205505e-02 1.000000e-03 266.915682554245 7520.280203819275
29 9.417205e-02 4.216443e-02 5.167545e-02 5.200761e-02 1.000000e-03 266.2718451023102 7786.601488351822
30 9.402555e-02 4.207462e-02 5.161461e-02 5.195092e-02 1.000000e-03 264.56966066360474 8051.218780040741
