epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 5.468507e+00 5.326903e+00 0.000000e+00 1.416038e-01 7.351217e-04 1099.6821529865265 1099.7549159526825
2 1.797497e+00 1.705366e+00 0.000000e+00 9.213175e-02 5.404038e-04 1102.8568143844604 2202.7061846256256
3 9.996327e-01 9.140190e-01 0.000000e+00 8.561377e-02 3.774020e-04 1091.0437474250793 3293.8472752571106
4 6.443492e-01 5.635370e-01 0.000000e+00 8.081224e-02 2.774364e-04 1101.4463493824005 4395.383648395538
5 4.708491e-01 3.917204e-01 0.000000e+00 7.912871e-02 2.039495e-04 1095.483609199524 5490.964235067368
6 3.706040e-01 2.926607e-01 0.000000e+00 7.794328e-02 1.424323e-04 1098.647840499878 6589.708338975906
7 3.104765e-01 2.335175e-01 0.000000e+00 7.695902e-02 1.047050e-04 1112.885612487793 7702.687107563019
8 2.762219e-01 2.000789e-01 0.000000e+00 7.614307e-02 7.312288e-05 1104.1669986248016 8806.946562290192
9 2.601113e-01 1.846409e-01 0.000000e+00 7.547045e-02 5.375422e-05 1091.8786036968231 9898.92104101181
10 2.422691e-01 1.673154e-01 0.000000e+00 7.495370e-02 3.951589e-05 1099.3171126842499 10998.333716630936
11 2.349155e-01 1.603388e-01 0.000000e+00 7.457668e-02 2.759672e-05 1096.6368432044983 12095.064002990723
12 2.263021e-01 1.520004e-01 0.000000e+00 7.430167e-02 2.028695e-05 1089.9096965789795 13185.071800470352
13 2.148553e-01 1.407474e-01 0.000000e+00 7.410784e-02 1.416780e-05 1093.4006497859955 14278.568443775177
14 2.072299e-01 1.332598e-01 0.000000e+00 7.397010e-02 1.041506e-05 1101.12180685997 15379.78678894043
15 2.000356e-01 1.261573e-01 0.000000e+00 7.387838e-02 7.656334e-06 1096.4940569400787 16476.377569675446
16 1.923750e-01 1.185622e-01 0.000000e+00 7.381274e-02 5.346956e-06 1114.1415474414825 17590.613688230515
17 1.854040e-01 1.116316e-01 0.000000e+00 7.377240e-02 3.930663e-06 1098.124883890152 18688.82930469513
18 1.804694e-01 1.067238e-01 0.000000e+00 7.374562e-02 2.745058e-06 1094.3843252658844 19783.311225414276
19 1.761215e-01 1.023943e-01 0.000000e+00 7.372725e-02 2.017952e-06 1107.778072834015 20891.182443380356
20 1.725683e-01 9.885202e-02 0.000000e+00 7.371632e-02 1.483440e-06 1110.0464203357697 22001.326185941696
21 1.693626e-01 9.565326e-02 0.000000e+00 7.370934e-02 1.035990e-06 1097.9846086502075 23099.40548658371
22 1.668818e-01 9.317715e-02 0.000000e+00 7.370465e-02 7.615790e-07 1094.4427905082703 24193.946171283722
23 1.651225e-01 9.142020e-02 0.000000e+00 7.370228e-02 5.318642e-07 1098.246190071106 25292.284846544266
24 1.637423e-01 9.004174e-02 0.000000e+00 7.370052e-02 3.909849e-07 1097.5321397781372 26389.917071819305
25 1.628504e-01 8.915065e-02 0.000000e+00 7.369977e-02 2.874214e-07 1114.3576445579529 27504.36738872528
26 1.619050e-01 8.820576e-02 0.000000e+00 7.369924e-02 2.007266e-07 1106.0353529453278 28610.500076770782
27 1.614398e-01 8.774080e-02 0.000000e+00 7.369904e-02 1.475585e-07 1115.0091950893402 29725.60541367531
28 1.610322e-01 8.733364e-02 0.000000e+00 7.369854e-02 1.030504e-07 1093.7478790283203 30819.443014383316
29 1.607079e-01 8.700955e-02 0.000000e+00 7.369840e-02 7.575461e-08 1102.5416543483734 31922.081535339355
30 1.603792e-01 8.668064e-02 0.000000e+00 7.369856e-02 5.568886e-08 1103.639713525772 33025.82273340225
31 1.602541e-01 8.655558e-02 0.000000e+00 7.369855e-02 3.889144e-08 1103.352248430252 34129.27257204056
