epoch              loss   RMSE_Etot_per_atom            RMSE_F      time
    1  4.7187920044e+02     5.3250765637e-02  3.1452047710e-01  971.0194
    2  1.1001439029e-01     7.7178424631e-04  1.0446515208e-01  968.4812
    3  3.7615545257e-02     4.2044496291e-04  9.0580221488e-02  968.4449
    4  2.4113583664e-02     3.1876959715e-04  8.4897261946e-02  968.5287
    5  1.8853901911e-02     2.7117168432e-04  8.1361348042e-02  969.0281
    6  1.7398994328e-02     2.5898737075e-04  7.8990387667e-02  968.1704
    7  1.9666125281e-02     2.8694527516e-04  7.7247709277e-02  968.5397
    8  2.3031575614e-02     3.2223146529e-04  7.5870552496e-02  968.4750
    9  2.6557113116e-02     3.5495700516e-04  7.4798277067e-02  968.6375
   10  2.9549620172e-02     3.8045006054e-04  7.3946795516e-02  968.6987
   11  3.1610089899e-02     3.9746350388e-04  7.2983745501e-02  968.4247
   12  3.3994460337e-02     4.1593589590e-04  7.2188234496e-02  967.8337
   13  3.5020999720e-02     4.2397210098e-04  7.1517157042e-02  968.4099
   14  3.5355906506e-02     4.2699435107e-04  7.0864107626e-02  968.2950
   15  3.6209755586e-02     4.3354213458e-04  7.0271709495e-02  968.4239
   16  3.5396899699e-02     4.2851198521e-04  6.9618264053e-02  967.9389
   17  3.5859337879e-02     4.3223736330e-04  6.9106005571e-02  968.3057
   18  3.4911479994e-02     4.2611180716e-04  6.8575211133e-02  968.3044
   19  3.5033496634e-02     4.2749448928e-04  6.8030944715e-02  968.3332
   20  3.4386364530e-02     4.2333066694e-04  6.7605410412e-02  968.7801
   21  3.3529410127e-02     4.1764459707e-04  6.7149954785e-02  968.4943
   22  3.2966823631e-02     4.1401828064e-04  6.6695545296e-02  968.2457
   23  3.1845551083e-02     4.0624796895e-04  6.6237841268e-02  968.7785
   24  3.1251054186e-02     4.0221782476e-04  6.5841046119e-02  969.1180
   25  3.0312863936e-02     3.9554783352e-04  6.5438134491e-02  970.1404
   26  2.9934239454e-02     3.9299305985e-04  6.5105258154e-02  968.8179
   27  2.9267585259e-02     3.8820582275e-04  6.4763006829e-02  967.7760
   28  2.9067888242e-02     3.8700874139e-04  6.4412306193e-02  968.8661
   29  2.7940171878e-02     3.7846746600e-04  6.4101578620e-02  968.8144
   30  2.7361556184e-02     3.7416299902e-04  6.3791827690e-02  968.1857
