epoch              loss   RMSE_Etot_per_atom            RMSE_F      time
    1  3.1645303594e+02     4.3607219057e-02  2.7581500460e-01  607.1649
    2  9.3649011481e-02     7.1152203847e-04  9.7053609734e-02  604.6896
    3  4.7015186534e-02     4.8691041630e-04  8.7009825853e-02  604.8066
    4  4.7229881896e-02     4.9263498021e-04  8.2779600742e-02  604.8638
    5  5.3821557430e-02     5.3374508158e-04  8.0149941920e-02  604.7561
    6  6.6581938751e-02     6.0297994837e-04  7.8041749291e-02  604.6730
    7  6.8762010497e-02     6.1500185252e-04  7.6383552029e-02  604.6175
    8  7.4633174887e-02     6.4404670408e-04  7.4976424703e-02  604.9164
    9  7.6223267601e-02     6.5228222315e-04  7.3724807155e-02  604.8741
   10  7.4508540821e-02     6.4501540062e-04  7.2726034314e-02  604.7286
   11  7.5455591198e-02     6.5002847004e-04  7.1805263378e-02  604.6960
   12  7.4522250544e-02     6.4619148624e-04  7.1064292948e-02  604.5688
   13  7.3585460839e-02     6.4229363986e-04  7.0348646270e-02  604.7056
   14  7.0008891304e-02     6.2575603772e-04  6.9723235796e-02  604.8693
   15  7.2020401088e-02     6.3570998448e-04  6.9164592010e-02  605.0607
   16  6.9513091910e-02     6.2408825742e-04  6.8646436144e-02  604.8707
   17  6.9723536418e-02     6.2541865352e-04  6.8163084093e-02  604.7658
   18  6.8385174933e-02     6.1926458318e-04  6.7692356425e-02  604.5489
   19  6.7333350029e-02     6.1444309402e-04  6.7231540138e-02  605.0749
   20  6.5155439572e-02     6.0395451700e-04  6.6845481868e-02  604.8551
   21  6.4237736712e-02     5.9962183165e-04  6.6469648936e-02  604.7502
   22  6.3207176877e-02     5.9468615031e-04  6.6093789705e-02  604.8167
   23  6.2089925392e-02     5.8928848095e-04  6.5684022875e-02  604.6837
   24  6.1172181489e-02     5.8480726246e-04  6.5360607269e-02  604.6417
   25  5.9999850600e-02     5.7898122116e-04  6.5021128416e-02  604.8150
   26  5.8595446398e-02     5.7185848623e-04  6.4708112365e-02  604.8223
   27  5.7402813253e-02     5.6576782375e-04  6.4399550055e-02  604.6123
   28  5.6732467637e-02     5.6240447865e-04  6.4095672128e-02  604.5919
   29  5.6151350030e-02     5.5949059822e-04  6.3804614126e-02  604.8264
   30  5.4767958051e-02     5.5219767377e-04  6.3533575594e-02  604.6837
